Sentence,Tense,Verb,NER Tag,encode_sent
what about Cliffy,0,None,"0,0,0","0, 312, 482, 26544, 2"
bye lion,0,None,"0,0","0, 965, 1809, 2"
two boots,0,None,"0,0","0, 1201, 2419, 2"
it doesn't belong there,1,doesn't,"0,1,0,3,0","0, 274, 644, 309, 2542, 386, 2"
okay Adam ride it,1,ride,"0,0,1,0","0, 367, 1834, 1446, 290, 2"
Adam's doggie,0,None,"0,0,0","0, 2637, 279, 1407, 2"
take his nose off,1,take,"1,0,0,0","0, 1363, 505, 1042, 581, 2"
no you can't take his nose off,1,can't,"0,0,7,0,3,0,0,0","0, 286, 273, 377, 309, 577, 505, 1042, 581, 2"
how will he smell anything,3,will,"0,9,0,3,0","0, 467, 733, 301, 1840, 941, 2"
no you can't take his nose off either,1,can't,"0,0,7,0,3,0,0,0,0","0, 286, 273, 377, 309, 577, 505, 1042, 581, 1539, 2"
you can't take his nose off,1,can't,"0,7,0,3,0,0,0","0, 266, 377, 309, 577, 505, 1042, 581, 2"
no I don't think those two men can,1,don't,"0,0,1,0,3,0,0,0,7","0, 286, 322, 358, 309, 399, 594, 659, 2466, 377, 2"
no you can't take the lion's nose off,1,can't,"0,0,7,0,3,0,0,0,0,0","0, 286, 273, 377, 309, 577, 272, 1809, 279, 1042, 581, 2"
doggie take nose off,1,take,"0,1,0,0","0, 3291, 577, 1042, 581, 2"
nose off what,0,None,"0,0,0","0, 3392, 581, 339, 2"
no you can't take the nose off,1,can't,"0,0,7,0,3,0,0,0","0, 286, 273, 377, 309, 577, 272, 1042, 581, 2"
Adam who take nose off,1,take,"0,0,1,0,0","0, 2637, 592, 577, 1042, 581, 2"
take nose off Donald Duck,1,take,"1,0,0,0,0","0, 1363, 1042, 581, 3697, 5053, 2"
no,0,None,0,"0, 286, 2"
take nose off what,1,take,"1,0,0,0","0, 1363, 1042, 581, 339, 2"
fire,0,None,0,"0, 4368, 2"
bird,0,None,0,"0, 2610, 2"
no you can't take the nose off the bird either,1,can't,"0,0,7,0,3,0,0,0,0,0,0","0, 286, 273, 377, 309, 577, 272, 1042, 581, 272, 1014, 1539, 2"
does the bird have a nose,1,does,"1,0,0,3,0,0","0, 791, 272, 1014, 381, 265, 1042, 2"
that's a donkey,1,s,"0,4,0,0","0, 363, 279, 265, 2620, 2"
and a piggie,0,None,"0,0,0","0, 347, 265, 3115, 2"
monkey,0,None,0,"0, 5687, 2"
that's a man and that's a little boy,1,s,"0,4,0,0,0,0,4,0,0,0","0, 363, 279, 265, 686, 329, 296, 279, 265, 439, 694, 2"
that is a man,1,is,"0,1,0,0","0, 363, 328, 265, 686, 2"
that's a piggie,1,s,"0,4,0,0","0, 363, 279, 265, 3115, 2"
that's a little baby doggie,1,s,"0,4,0,0,0,0","0, 363, 279, 265, 439, 477, 1407, 2"
the baby doggie is a puppy,1,is,"0,0,0,1,0,0","0, 321, 477, 1407, 328, 265, 1835, 2"
well he does look a little like Pepper,1,does,"0,0,1,3,0,0,0,0","0, 492, 301, 462, 415, 265, 439, 349, 10990, 2"
it's not the same dog as Pepper,1,s,"0,4,0,0,0,0,0,0","0, 274, 279, 419, 272, 1206, 832, 616, 10990, 2"
what is it doing,1,is,"0,1,0,5","0, 312, 328, 290, 593, 2"
record going to work,0,going,"0,5,0,3","0, 14616, 497, 302, 855, 2"
yes it is working,1,is,"0,0,1,5","0, 506, 290, 328, 2283, 2"
but what is it going,1,is,"0,0,1,0,5","0, 545, 339, 328, 290, 497, 2"
oh no you can't take it off yet,1,can't,"0,0,0,7,0,3,0,0,0","0, 332, 361, 273, 377, 309, 577, 290, 581, 1159, 2"
it hasn't finished,1,hasn't,"0,1,0,8","0, 274, 2816, 309, 1535, 2"
Adam sit down,1,sit,"0,1,0","0, 2637, 726, 483, 2"
where are you going to sit,3,are you going to,"0,1,0,5,0,3","0, 442, 385, 273, 497, 302, 726, 2"
peekaboo,0,None,0,"0, 1261, 2"
it doesn't have nose,1,doesn't,"0,1,0,3,0","0, 274, 644, 309, 381, 1042, 2"
where is the nose on the car,1,is,"0,1,0,0,0,0,0","0, 442, 328, 272, 1042, 307, 272, 572, 2"
that's a train,1,s,"0,4,0,0","0, 363, 279, 265, 1506, 2"
the car is on the train,1,is,"0,0,1,0,0,0","0, 321, 572, 328, 307, 272, 1506, 2"
who dat that,0,None,"0,0,0","0, 478, 4029, 296, 2"
car train,0,None,"0,0","0, 1989, 1506, 2"
car train,0,None,"0,0","0, 1989, 1506, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
do you have anything in your pocket,1,do,"1,0,3,0,0,0,0","0, 410, 273, 381, 941, 318, 345, 2560, 2"
do you have a penny,1,do,"1,0,3,0,0","0, 410, 273, 381, 265, 3509, 2"
that's the rug,1,s,"0,4,0,0","0, 363, 279, 272, 3125, 2"
careful don't step on his foot,1,don't,"0,1,0,3,0,0,0","0, 2041, 358, 309, 2306, 307, 505, 986, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
that's part of the broom,1,s,"0,4,0,0,0,0","0, 363, 279, 1031, 340, 272, 3367, 2"
what is that part of,1,is,"0,1,0,0,0","0, 312, 328, 296, 1031, 340, 2"
excuse me Ursula part of the broom,1,excuse,"1,0,0,0,0,0,0","0, 2712, 376, 4436, 1031, 340, 272, 3367, 2"
why don't you put it in the trash,1,don't,"0,1,0,0,3,0,0,0,0","0, 601, 358, 309, 273, 416, 290, 318, 272, 2530, 2"
yes right there,0,None,"0,0,0","0, 506, 434, 386, 2"
yeah,0,None,0,"0, 352, 2"
what did you find,2,did,"0,2,0,3","0, 312, 407, 273, 804, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
what else is on there,1,is,"0,0,1,0,0","0, 312, 568, 328, 307, 386, 2"
beans and what,0,None,"0,0,0","0, 7082, 329, 339, 2"
those aren't beans,1,aren't,"0,1,0,0","0, 1144, 1372, 309, 2271, 2"
they're peas,1,re,"0,4,0","0, 544, 375, 1262, 2"
what else,0,None,"0,0","0, 312, 568, 2"
no,0,None,0,"0, 286, 2"
Humpty Dumpty,0,None,"0,0","0, 8149, 7429, 2"
what did Humpty Dumpty do,2,did,"0,2,0,0,1","0, 312, 407, 5805, 7429, 299, 2"
he sat on the wall,2,sat,"0,2,0,0,0","0, 262, 2841, 307, 272, 1917, 2"
all the king's horses and all the king's,0,None,"0,0,0,0,0,0,0,0,0,0","0, 365, 272, 2545, 279, 2633, 329, 432, 272, 2545, 279, 2"
men,0,None,0,"0, 3433, 2"
could not put,1,could,"7,0,3","0, 1790, 419, 416, 2"
Ricky will fix that,3,will,"0,9,3,0","0, 16211, 733, 1153, 296, 2"
Lilly,0,None,0,"0, 11600, 2"
oh Lilly will fix it,3,will,"0,0,9,3,0","0, 332, 6221, 733, 1153, 290, 2"
oh Jesus loves me,1,loves,"0,0,1,0","0, 332, 5371, 1753, 376, 2"
at church,0,None,"0,0","0, 341, 3847, 2"
we passed two nuns in the grocery store and Adam told his daddy,2,passed,"0,2,0,0,0,0,0,0,0,0,2,0,0","0, 379, 7907, 659, 20063, 318, 272, 3647, 1366, 329, 1834, 1382, 505, 1056, 2"
and Adam told his daddy,2,told,"0,0,2,0,0","0, 347, 1834, 1382, 505, 1056, 2"
Jesus love me,1,love,"0,1,0","0, 6688, 1041, 376, 2"
coat,0,None,0,"0, 6555, 2"
you wanna go to church,1,wanna,"0,1,3,0,0","0, 266, 423, 316, 302, 3847, 2"
you don't go to church today,1,don't,"0,1,0,3,0,0,0","0, 266, 358, 309, 316, 302, 3847, 814, 2"
Adam's driving,1,s,"0,4,5","0, 2637, 279, 2581, 2"
Adam you don't ride your up there,1,don't,"0,0,1,0,3,0,0,0","0, 2637, 273, 358, 309, 1446, 345, 403, 386, 2"
not up there either,0,None,"0,0,0,0","0, 829, 403, 386, 1539, 2"
no,0,None,0,"0, 286, 2"
no,0,None,0,"0, 286, 2"
no,0,None,0,"0, 286, 2"
where did Daddy go,2,did,"0,2,0,3","0, 442, 407, 825, 316, 2"
careful Adam,0,None,"0,0","0, 2041, 1834, 2"
yes that is Daddy,1,is,"0,0,1,0","0, 506, 296, 328, 825, 2"
no leave that back there,1,leave,"0,1,0,0,0","0, 286, 1259, 296, 511, 386, 2"
that's Ursula's tape recorder,1,s,"0,4,0,0,0,0","0, 363, 279, 4436, 279, 1228, 1851, 2"
Mommy is Ursula's Daddy,1,is,"0,1,0,0,0","0, 1087, 328, 4436, 279, 825, 2"
oh,0,None,0,"0, 332, 2"
you tell me,1,tell,"0,1,0","0, 266, 621, 376, 2"
where did Daddy go,2,did,"0,2,0,3","0, 442, 407, 825, 316, 2"
what does Daddy do at school,1,does,"0,1,0,3,0,0","0, 312, 462, 825, 299, 396, 828, 2"
is the busy bulldozer at school,1,is,"1,0,0,0,0,0","0, 281, 272, 2555, 6279, 396, 828, 2"
he can't march,1,can't,"0,7,0,3","0, 262, 377, 309, 7371, 2"
no he can't march,1,can't,"0,0,7,0,3","0, 286, 301, 377, 309, 7371, 2"
no,0,None,0,"0, 286, 2"
Green jeans,0,None,"0,0,0","0, 6420, 395, 8238, 2"
yes Mr Green jeans can march,1,can,"0,0,0,0,7,0","0, 506, 2695, 10715, 8238, 377, 7371, 2"
Bambi can't march,1,can't,"0,7,0,3","0, 7045, 377, 309, 7371, 2"
who,0,None,0,"0, 478, 2"
oh yes the bear can march,1,can,"0,0,0,0,7,3","0, 332, 860, 272, 886, 377, 7371, 2"
yes,0,None,0,"0, 506, 2"
where's your bumble bee,1,s,"0,4,0,0,0","0, 442, 279, 345, 3636, 1448, 2"
get the bumble bee alright,1,get,"1,0,0,0,0","0, 657, 272, 3636, 1448, 1207, 2"
do you think,1,do,"1,0,3","0, 410, 273, 399, 2"
he can drive with that there,1,can,"0,7,3,0,0,0","0, 262, 377, 1684, 392, 296, 386, 2"
what's her little boy's name,1,s,"0,4,0,0,0,0,0","0, 312, 279, 470, 439, 694, 279, 766, 2"
that's your name,1,s,"0,4,0,0","0, 363, 279, 345, 766, 2"
what's her little boy's name,1,s,"0,4,0,0,0,0,0","0, 312, 279, 470, 439, 694, 279, 766, 2"
why don't you take Ursula's briefcase over to her,1,don't,"0,1,0,0,3,0,0,0,0,0,0","0, 601, 358, 309, 273, 577, 4436, 279, 9039, 521, 302, 470, 2"
you can take it off,1,can,"0,7,3,0,0","0, 266, 377, 577, 290, 581, 2"
I doubt it,1,doubt,"0,1,0","0, 45, 6066, 290, 2"
oh is that the marching bear,1,is,"0,1,0,0,0,0","0, 332, 328, 296, 272, 10015, 886, 2"
put him to work,1,put,"1,0,0,3","0, 676, 502, 302, 855, 2"
oh put him on the rug,1,put,"0,1,0,0,0,0","0, 332, 416, 502, 307, 272, 3125, 2"
oh no Mr Green jeans is gone now,1,gone,"0,0,0,0,0,1,8,0","0, 332, 361, 2695, 10715, 8238, 328, 1581, 508, 2"
who is that,1,is,"0,1,0","0, 478, 328, 296, 2"
that's Adam,1,s,"0,4,0","0, 363, 279, 1834, 2"
do you see him,1,see,"1,0,3,0","0, 410, 273, 384, 502, 2"
do you see Ursula too,1,see,"1,0,3,0,0","0, 410, 273, 384, 4436, 498, 2"
who else do you see,1,do,"0,0,1,0,3","0, 478, 568, 299, 273, 384, 2"
do you see your truck too,1,do,"1,0,3,0,0,0","0, 410, 273, 384, 345, 971, 498, 2"
you don't mean ball,1,don't,"0,1,0,3,0","0, 266, 358, 309, 687, 690, 2"
that's a bat,1,s,"0,4,0,0","0, 363, 279, 265, 943, 2"
where's the ball,1,s,"0,4,0,0","0, 442, 279, 272, 690, 2"
outside,0,None,0,"0, 5447, 2"
careful don't spill it,1,don't,"0,1,0,3,0","0, 2041, 358, 309, 1983, 290, 2"
don't spill the water on the rug,1,don't,"1,0,3,0,0,0,0,0","0, 629, 309, 1983, 272, 746, 307, 272, 3125, 2"
what,0,None,0,"0, 312, 2"
no,0,None,0,"0, 286, 2"
he doesn't want any water,1,doesn't,"0,1,0,3,0,0","0, 262, 644, 309, 427, 520, 746, 2"
I don't think,1,don't,"0,1,0,3","0, 45, 358, 309, 399, 2"
ask her if she'd like some,1,ask,"1,0,0,0,7,3,0","0, 1454, 470, 518, 404, 718, 349, 430, 2"
ask Mr Cromer if he'd like some water,1,ask,"1,0,0,0,0,7,3,0,0","0, 1454, 2695, 4552, 518, 301, 718, 349, 430, 746, 2"
the suitcase wants water,1,wants,"0,0,1,0","0, 321, 4678, 1104, 746, 2"
no,0,None,0,"0, 286, 2"
that's not your tummy,1,s,"0,4,0,0,0","0, 363, 279, 419, 345, 2147, 2"
how many tummies do you have,1,do,"0,0,0,1,0,3","0, 467, 907, 10999, 299, 273, 381, 2"
that's the man who wrote the book,2,wrote,"0,4,0,0,0,2,0,0","0, 363, 279, 272, 686, 592, 3812, 272, 523, 2"
you tell me,1,tell,"0,1,0","0, 266, 621, 376, 2"
what are you doing,1,are,"0,1,0,5","0, 312, 385, 273, 593, 2"
oh you're wiping it off,1,re,"0,0,4,5,0,0","0, 332, 273, 375, 8748, 290, 581, 2"
Adam go to work,1,go,"0,1,0,3","0, 2637, 316, 302, 855, 2"
where does Adam work,1,does,"0,1,0,3","0, 442, 462, 1834, 855, 2"
Adam do you know,1,do,"0,1,0,3","0, 2637, 299, 273, 378, 2"
where you live,1,live,"0,0,1","0, 442, 273, 1306, 2"
this is Adam's house,1,s,"0,1,0,0,0","0, 562, 328, 1834, 279, 713, 2"
but where is it,1,is,"0,0,1,0","0, 545, 605, 328, 290, 2"
oh Adam's driving,1,s,"0,0,4,5","0, 332, 1834, 279, 2581, 2"
who is driving,1,is,"0,1,5","0, 478, 328, 2581, 2"
Robbie's driving too,1,s,"0,4,5,0","0, 13032, 279, 2581, 498, 2"
what are you doing,1,are,"0,1,0,5","0, 312, 385, 273, 593, 2"
Hobo's truck,0,None,"0,0,0,0","0, 19661, 653, 279, 971, 2"
did you find it,2,did,"2,0,3,0","0, 546, 273, 804, 290, 2"
yes,0,None,0,"0, 506, 2"
where is it,1,is,"0,1,0","0, 442, 328, 290, 2"
where's the other one,1,s,"0,4,0,0,0","0, 442, 279, 272, 617, 383, 2"
throw to Daddy,1,throw,"1,0,0","0, 2187, 302, 825, 2"
Doctor Dan at the circus,0,None,"0,0,0,0,0","0, 8253, 3525, 396, 272, 2899, 2"
he has two boots on,1,has,"0,1,0,0,0","0, 262, 606, 659, 2419, 307, 2"
that's a lion tamer,1,s,"0,4,0,0,0","0, 363, 279, 265, 1809, 27535, 2"
the lady of the elephant,0,None,"0,0,0,0,0","0, 321, 1325, 340, 272, 1103, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
that's the doggie,1,s,"0,4,0,0","0, 363, 279, 272, 1407, 2"
who is that,1,is,"0,1,0","0, 478, 328, 296, 2"
yes tattooed man,0,None,"0,0,0","0, 506, 19464, 686, 2"
no he's not going to bite the doggie,3,s not going to,"0,0,4,0,5,0,3,0,0","0, 286, 301, 279, 419, 497, 302, 1236, 272, 1407, 2"
and the doggie's not going to bite him,3,s not going to,"0,0,0,4,0,5,0,3,0","0, 347, 272, 1407, 279, 419, 497, 302, 1236, 502, 2"
they're all falling down,1,re,"0,4,0,5,0","0, 544, 375, 432, 2950, 483, 2"
see,1,see,1,"0, 584, 2"
the bird gets away,1,gets,"0,0,1,0","0, 321, 1014, 1459, 785, 2"
first he does what,1,does,"0,0,1,0","0, 2630, 301, 462, 339, 2"
no the doggie didn't bite him,2,didn't,"0,0,0,2,0,3,0","0, 286, 272, 1407, 611, 309, 1236, 502, 2"
what's this,1,s,"0,4,0","0, 312, 279, 346, 2"
what is she putting the bandaid on,1,is,"0,1,0,5,0,0,0","0, 312, 328, 404, 1620, 272, 4633, 307, 2"
take boots on,1,take,"1,0,0","0, 1363, 2419, 307, 2"
Adam doesn't have cowboy boots like that,1,doesn't,"0,1,0,3,0,0,0,0","0, 2637, 644, 309, 381, 3640, 2419, 349, 296, 2"
do you recognize any of these pictures,1,do,"1,0,3,0,0,0,0","0, 410, 273, 3015, 520, 340, 596, 1614, 2"
yeah they all fall down,1,fall,"0,0,0,1,0","0, 352, 412, 432, 1048, 483, 2"
how did he get tattooed,2,didn't,"0,2,0,1,0","0, 467, 407, 301, 394, 19464, 2"
who fell down,2,fell,"0,2,0","0, 478, 1334, 483, 2"
what happened to your head,2,happened,"0,2,0,0,0","0, 312, 917, 302, 345, 870, 2"
what fell down,2,fell,"0,2,0","0, 312, 1334, 483, 2"
you beep beep Adam,1,beep,"0,1,1,0","0, 266, 3414, 3414, 1834, 2"
you move some of your toys,1,move,"0,1,0,0,0,0","0, 266, 1227, 430, 340, 345, 885, 2"
yes move your bike,1,move,"0,1,0,0","0, 506, 1227, 345, 2126, 2"
where's your racket,1,s,"0,4,0,0","0, 442, 279, 345, 10740, 2"
you're welcome,1,re,"0,4,0","0, 266, 375, 2145, 2"
that's for you,1,s,"0,4,0,0","0, 363, 279, 397, 273, 2"
whose book is that,1,is,"0,0,1,0","0, 2301, 523, 328, 296, 2"
Bruno Walter,0,None,"0,0","0, 27847, 13498, 2"
Bruno Walter,0,None,"0,0","0, 27847, 13498, 2"
what does he look like,1,does,"0,1,0,3,0","0, 312, 462, 301, 415, 349, 2"
playing the piano,0,None,"5,0,0","0, 5174, 272, 4210, 2"
they do look like stars,1,do,"0,1,3,0,0","0, 544, 299, 415, 349, 2843, 2"
what's he doing,1,s,"0,4,0,5","0, 312, 279, 301, 593, 2"
what's his name,1,s,"0,4,0,0","0, 312, 279, 505, 766, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
no that's no paper,1,s,"0,0,4,0,0","0, 286, 296, 279, 361, 1243, 2"
what is he doing Adam,1,is,"0,1,0,5,0","0, 312, 328, 301, 593, 1834, 2"
Adam didn't write that,2,didn't,"0,2,0,3,0","0, 2637, 611, 309, 1330, 296, 2"
Mr Walter did,2,did,"0,0,2","0, 4244, 13498, 407, 2"
which one is Mr Walter,1,is,"0,0,1,0,0","0, 1106, 383, 328, 2695, 13498, 2"
girl,0,None,0,"0, 6411, 2"
when,0,None,0,"0, 952, 2"
what is he doing,1,is,"0,1,0,5","0, 312, 328, 301, 593, 2"
he's conducting,1,s,"0,4,5,0","0, 262, 279, 19298, 291, 2"
he's in there,1,s,"0,4,0,0","0, 262, 279, 318, 386, 2"
you going to give back to Ursula now,0,None,"0,5,0,3,0,0,0,0","0, 266, 497, 302, 683, 511, 302, 4436, 508, 2"
you'll give it to whom,3,ll,"0,6,3,0,0,0","0, 266, 436, 683, 290, 302, 6777, 2"
what are you doing Adam,1,are,"0,1,0,5,0","0, 312, 385, 273, 593, 1834, 2"
Adam's not funny,1,s,"0,4,0,0","0, 2637, 279, 419, 962, 2"
where did Daddy go,2,did,"0,2,0,3","0, 442, 407, 825, 316, 2"
Daddy Cromer,0,None,"0,0","0, 1494, 4552, 2"
no that's not Cromer's Daddy,1,s,"0,0,4,0,0,0,0","0, 286, 296, 279, 419, 4552, 279, 825, 2"
no Mommy's not Cromer's Mommy either,1,s,"0,0,4,0,0,0,0,0","0, 286, 688, 279, 419, 4552, 279, 688, 1539, 2"
Adam Cromer,0,None,"0,0","0, 2637, 4552, 2"
whose coat is that,1,is,"0,0,1,0","0, 2301, 2159, 328, 296, 2"
what are you going to do with the pencil,3,are you going to,"0,1,0,5,0,3,0,0,0","0, 312, 385, 273, 497, 302, 299, 392, 272, 2746, 2"
how do you know tha your pencil,1,do,"0,1,0,3,0,0,0","0, 467, 299, 273, 378, 5292, 345, 2746, 2"
yes it's turned on,1,s,"0,0,4,8,0","0, 506, 290, 279, 2368, 307, 2"
what are you talking about,1,are,"0,1,0,5,0","0, 312, 385, 273, 1403, 482, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
you tell me,1,tell,"0,1,0","0, 266, 621, 376, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
Adam's pencil,0,None,"0,0,0","0, 2637, 279, 2746, 2"
is that a pencil,1,is,"1,0,0,0","0, 281, 296, 265, 2746, 2"
you want some paper,1,want,"0,1,0,0","0, 266, 427, 430, 1243, 2"
what,0,None,0,"0, 312, 2"
sure,0,None,0,"0, 1469, 2"
where did you get that,2,did,"0,2,0,3,0","0, 442, 407, 273, 394, 296, 2"
sure,0,None,0,"0, 1469, 2"
do you know,1,do,"1,0,3","0, 410, 273, 378, 2"
how old you are,1,are,"0,0,0,1","0, 467, 989, 273, 385, 2"
two boy,0,None,"0,0","0, 1201, 694, 2"
what,0,None,0,"0, 312, 2"
see the racket,1,see,"1,0,0","0, 584, 272, 10740, 2"
the racket isn't up there,1,isn't,"0,0,1,0,0,0","0, 321, 10740, 918, 309, 403, 386, 2"
oh you see that,1,see,"0,0,1,0","0, 332, 273, 384, 296, 2"
where is it,1,isn't,"0,1,0","0, 442, 328, 290, 2"
Mommy's pillows,0,None,"0,0,0","0, 1087, 279, 6002, 2"
well I don't want my pillows on the floor,1,don't,"0,0,1,0,3,0,0,0,0,0","0, 492, 322, 358, 309, 427, 510, 6002, 307, 272, 1191, 2"
oh they're Adam's pillows,1,re,"0,0,4,0,0,0","0, 332, 412, 375, 1834, 279, 6002, 2"
I don't think,1,don't,"0,1,0,3","0, 45, 358, 309, 399, 2"
Daddy wants his pillows on the floor either,1,wants,"0,1,0,0,0,0,0,0","0, 1494, 1104, 505, 6002, 307, 272, 1191, 1539, 2"
put together again,1,put,"1,0,0","0, 676, 1092, 691, 2"
with a needle and some thread maybe we can put it back together,1,can,"0,0,0,0,0,0,0,0,7,3,0,0,0","0, 1286, 265, 5448, 329, 430, 5759, 896, 331, 377, 416, 290, 511, 1092, 2"
thread,0,None,0,"0, 29690, 2"
did you ask him to move it,2,did,"2,0,3,0,0,3,0","0, 546, 273, 1263, 502, 302, 1227, 290, 2"
are you pulling your dog,1,are,"1,0,5,0,0","0, 472, 273, 3527, 345, 832, 2"
is the doggie broken,1,is,"1,0,0,0","0, 281, 272, 1407, 1960, 2"
that's no lion,1,s,"0,4,0,0","0, 363, 279, 361, 1809, 2"
well that's the right way,1,s,"0,0,4,0,0,0","0, 492, 296, 279, 272, 434, 656, 2"
you can't do that honey,1,can't,"0,7,0,3,0,0","0, 266, 377, 309, 299, 296, 925, 2"
what are you Adam,1,are,"0,1,0,0","0, 312, 385, 273, 1834, 2"
busy bulldozer,0,None,"0,0","0, 8350, 6279, 2"
Adam did you pick up the pillows,2,did,"0,2,0,3,0,0,0","0, 2637, 407, 273, 895, 403, 272, 6002, 2"
what's so funny,1,s,"0,4,0,0","0, 312, 279, 437, 962, 2"
did you think that was funny,2,did,"2,0,3,0,2,0","0, 546, 273, 399, 296, 405, 962, 2"
that was funny,2,was,"0,2,0","0, 363, 405, 962, 2"
don't ride the roadgrader up there,1,don't,"1,0,3,0,0,0,0","0, 629, 309, 1446, 272, 20700, 403, 386, 2"
that's right,1,s,"0,4,0","0, 363, 279, 434, 2"
it's not a big hill,1,s,"0,4,0,0,0,0","0, 274, 279, 419, 265, 535, 3431, 2"
where is your pencil,1,is,"0,1,0,0","0, 442, 328, 345, 2746, 2"
no this is mine,1,is,"0,0,1,0","0, 286, 346, 328, 1871, 2"
I have mine,1,have,"0,1,0","0, 45, 381, 1871, 2"
no this Mommy's,0,None,"0,0,0,0","0, 286, 346, 688, 279, 2"
can you read,1,can,"7,0,3","0, 473, 273, 569, 2"
what's on there Adam,1,s,"0,4,0,0,0","0, 312, 279, 307, 386, 1834, 2"
do you want a piece,1,do,"1,0,3,0,0","0, 410, 273, 427, 265, 1038, 2"
doctor Dan,0,None,"0,0","0, 7275, 3525, 2"
who is that,1,is,"0,1,0","0, 478, 328, 296, 2"
who,0,None,0,"0, 478, 2"
oh wash hands,1,wash,"0,1,0","0, 332, 1392, 1128, 2"
where,0,None,0,"0, 442, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
this,0,None,0,"0, 562, 2"
why don't you show it to Ursula,1,don't,"0,1,0,0,3,0,0,0","0, 601, 358, 309, 273, 873, 290, 302, 4436, 2"
yes Donald Duck,0,None,"0,0,0","0, 506, 3697, 5053, 2"
who is it,1,is,"0,1,0","0, 478, 328, 290, 2"
show it to Ursula,1,show,"1,0,0,0","0, 1772, 290, 302, 4436, 2"
Bambi,0,None,0,"0, 7045, 2"
is that Bambi,1,is,"1,0,0","0, 281, 296, 4051, 2"
what did you say then Adam,2,did,"0,2,0,3,0,0","0, 312, 407, 273, 460, 541, 1834, 2"
why is he like Perro,1,is,"0,1,0,0,0","0, 601, 328, 301, 349, 12652, 2"
is there a bunny there,1,is,"1,0,0,0,0","0, 281, 386, 265, 1185, 386, 2"
Adam what,0,None,"0,0","0, 2637, 339, 2"
wet your pants,1,wet,"1,0,0","0, 6293, 345, 1618, 2"
can you say you're sorry,1,can,"7,0,3,0,4,0","0, 473, 273, 460, 273, 375, 1406, 2"
where's the kitchen,1,s,"0,4,0,0","0, 442, 279, 272, 1567, 2"
where's the kitchen,1,s,"0,4,0,0","0, 442, 279, 272, 1567, 2"
is that the kitchen,1,is,"1,0,0,0","0, 281, 296, 272, 1567, 2"
you go get it,1,go,"0,1,3,0","0, 266, 316, 394, 290, 2"
Adam is that a ball,1,is,"0,1,0,0,0","0, 2637, 328, 296, 265, 690, 2"
what kind of car broke,2,broke,"0,0,0,0,2","0, 312, 549, 340, 572, 2296, 2"
oh take my hand out,1,take,"0,1,0,0,0","0, 332, 577, 510, 701, 428, 2"
are you as tall as Mommy,1,are,"1,0,0,0,0,0","0, 472, 273, 616, 2018, 616, 688, 2"
get the hand out,1,get,"1,0,0,0","0, 657, 272, 701, 428, 2"
what's this,1,s,"0,4,0","0, 312, 279, 346, 2"
that's not Donald Duck,1,s,"0,4,0,0,0","0, 363, 279, 419, 3697, 5053, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
that's an egg,1,s,"0,4,0,0","0, 363, 279, 413, 1090, 2"
look at the chicken coming out,1,look,"1,0,0,0,5,0","0, 457, 396, 272, 1343, 1315, 428, 2"
hello Chatter,0,None,"0,0","0, 1097, 27592, 2"
oh no you can't take that out of his hand,1,can't,"0,0,0,7,0,3,0,0,0,0,0","0, 332, 361, 273, 377, 309, 577, 296, 428, 340, 505, 701, 2"
you're eating Chatter's what,1,re,"0,4,5,0,0,0","0, 266, 375, 1074, 27592, 279, 339, 2"
what did you bite,2,did,"0,2,0,3","0, 312, 407, 273, 1236, 2"
wipe it off,1,wipe,"1,0,0","0, 4140, 290, 581, 2"
was it good,2,was,"2,0,0","0, 1410, 290, 455, 2"
it doesn't go in your mouth does it,1,doesn't,"0,1,0,3,0,0,0,1,0","0, 274, 644, 309, 316, 318, 345, 813, 462, 290, 2"
in whose mouth does it go,1,doesn't,"0,0,0,1,0,3","0, 268, 4002, 813, 462, 290, 316, 2"
no not Mommy's mouth,0,None,"0,0,0,0,0","0, 286, 419, 688, 279, 813, 2"
not Adam's mouth,0,None,"0,0,0,0","0, 829, 1834, 279, 813, 2"
bite whose mouth,1,bite,"1,0,0","0, 4772, 4002, 813, 2"
no,0,None,0,"0, 286, 2"
no,0,None,0,"0, 286, 2"
no,0,None,0,"0, 286, 2"
does the tape recorder have a mouth,1,does,"1,0,0,0,3,0,0","0, 791, 272, 1228, 1851, 381, 265, 813, 2"
where is it,1,is,"0,1,0","0, 442, 328, 290, 2"
what's the matter,1,s,"0,4,0,0","0, 312, 279, 272, 1575, 2"
is that hot,1,is,"1,0,0","0, 281, 296, 1063, 2"
who dat that,0,None,"0,0,0","0, 478, 4029, 296, 2"
