Sentence,Tense,Verb,NER Tag
is it in the shoe,1,is,"1,0,0,0,0"
foot,0,None,
kitchen play toy,0,None,
do you have play toys in the kitchen,1,do,"1,0,3,0,0,0,0,0"
what toy do you kick,1,do,"0,0,1,0,3"
kick your shoe,1,kick,"1,0,0"
you fell down,2,fell,"0,2,0"
what happened,2,happened,"0,2"
doggie and the car,0,None,
where did you go yesterday,2,did,"0,2,0,3,0"
you saw some pretty flowers,2,saw,"0,2,0,0,0"
what kind of play toy are you,1,are,"0,0,0,0,0,1,0"
are you a boat or an airplane,1,are,"1,0,0,0,0,0,0"
are you a Texaco star,1,are,"1,0,0,0,0"
oh you're a man with a Texaco star,1,re,"0,4,0,0,0,0,0,0"
don't put your mouth on the paper,1,don't,"1,3,0,0,0,0,0"
what did you do to the paper,2,did,"0,2,0,3,0,0,0"
game Adam,0,None,
play tail,1,play,"1,0"
what,0,None,
can you tell Mr Cromer,1,can,"7,0,3,0,0"
that you have some gloves too,1,have,"0,0,1,0,0,0"
when you open the door and go outside,1,open,"0,0,1,0,0,0,1,0"
and go outside,1,go,"0,1,0"
what do you put on,1,put,"0,1,0,3,0"
you put your gloves on,1,put,"0,1,0,0,0"
what else,0,None,
what about the book and the door,0,None,
why are you going to put the book outside,3,are you going to,"0,1,0,5,0,3,0,0,0"
another book yes,0,None,
whose book is that,1,is,"0,0,1,0"
whose book is that,1,is,"0,0,1,0"
what are you doing,1,are,"0,1,0,5"
a book isn't a ball,1,isn't,"0,0,1,0,0"
don't throw the book,1,don't,"1,3,0,0"
you ask somebody to play with you,1,ask,"0,1,0,0,3,0,0"
Chatter what's the matter with you,1,s,"0,4,0,0,0,0"
is that the way Chatter walks,1,is,"1,0,0,0,0,1"
can't you think of another game,1,can't,"7,0,3,0,0,0"
what are you doing with that chair,1,are,"0,1,0,5,0,0,0"
oh Adam sit in the chair,1,sit,"0,0,1,0,0,0"
is that the way it goes,1,is,"1,0,0,0,0,1"
the way it goes,1,goes,"0,0,0,1"
oh Adam sit in the chair ,1,sit,"0,0,1,0,0,0"
and watch the game,1,watch,"0,1,0,0"
what kind of game are you going to watch,3,are you going to,"0,0,0,0,1,0,5,0,0"
watch the game,1,watch,"1,0,0"
I don't think there are any games on today,1,don't,"0,1,3,0,1,0,0,0,0"
they usually come on the weekend,1,come,"0,0,1,0,0,0"
come at the end of the week,1,come,"1,0,0,0,0,0,0"
Sunday yes is at the end of the week,1,is,"0,0,1,0,0,0,0,0,0"
the power shovel pick the dirt up,1,pick,"0,0,0,1,0,0,0"
did you see a power shovel yesterday,2,did,"2,0,1,0,0,0,0"
that's right,1,s,"4,0"
you say a busy bulldozer yesterday,1,say,"0,1,0,0,0,0,0"
what was the busy bulldozer doing,2,was,"0,2,0,0,0,5"
was it pushing the dirt around too,2,was,"2,0,5,0,0,0,0"
oh no picking the dirt up,0,None,"0,0,5,0,0,0"
moon picks the dirt up,1,picks,"0,1,0,0,0"
when do you see the moon,1,do,"0,1,0,3,0,0"
up in the sky,0,None,
Adam's pencil,0,None,
where are you going,1,are,"0,1,0,5"
what are you going to say to the busy bulldozer,1,are,"0,1,0,5,0,3,0,0,0,0"
you're a little rascal,1,re,"4,0,0,0"
yes you are,1,are,"0,0,1"
just checking,0,None,"0,5"
no you don't need your temperature taken,1,don't,"0,0,1,3,0,0,8"
you're well,1,re,"4,0"
Mommy just takes your temperature when you are sick,1,takes,"0,0,1,0,0,0,0,1,0"
when you are sick,1,are,"0,0,1,0"
what's that,1,s,"4,0"
Adam's shirt,0,None,
don't wear a shirt Mommy,1,don't,"1,3,0,0,0"
Mommy doesn't wear a shirt,1,doesn't,"0,1,3,0,0"
yes Adam does wear shoes,1,doesn't,"0,0,1,3,0"
shoes help keep your feet warm,1,help,"0,1,3,0,0,0"
what do you wear over your shoes,1,do,"0,1,0,3,0,0,0"
when it's raining,1,s,"0,4,5"
that's right ,1,s,"4,0"
don't bite,1,don't,"1,3"
don't ride on the briefcase,1,don't,"1,3,0,0,0"
that's right you sit in a chair,1,s,"4,0,0,1,0,0,0"
that's Ursula's,1,s,"4,0"
that's Ursula's pocket book,1,s,"4,0,0,0"
is it heavy,1,is,"1,0,0"
are you playing football,1,are,"1,0,5,0"
isn't that a pretty box Adam,1,isn't,"1,0,0,0,0,0"
you ask Ursula ,1,ask,"0,1,0"
if it's alright to put this in the briefcase,1,s,"0,4,0,0,3,0,0,0,0"
can you bring me my pocket book,1,can,"7,0,3,0,0,0,0"
what is that,1,is,"0,1,0"
no it's not all finished,1,s,"0,4,0,0,8"
won't you please go over and take Ursula's pocketbook to her,3,won't,"9,0,0,3,0,0,3,0,0,0,0"
where did the ball go,2,did,"0,2,0,0,0"
hit head trash,2,hit,"2,0,0"
no you hit your head here on the bench,2,hit,"0,0,2,0,0,0,0,0,0"
Adam what are you doing back there,1,are,"0,0,1,0,5,0,0"
looking at the water,0,None,"5,0,0,0"
no there isn't any water in there,1,isn't,"0,0,1,0,0,0,0"
that wasn't a drum,2,wasn't,"0,2,0,0"
picking tomatoes up,0,None,"5,0,0"
why would you pick a tomato up like that,1,would,"0,7,0,3,0,0,0,0,0"
oh in salad,0,None,
what's on your tongue,1,s,"4,0,0,0"
you've got a string of Mommy's hair in your mouth,1,ve,"4,8,0,0,0,0,0,0,0,0"
no you don't have any,1,don't,"0,0,1,3,0"
use the eraser and then the writing is all_gone,1,use,"1,0,0,0,0,0,0,1,0,8"
and then the writing is all_gone,1,is,"0,0,0,0,0,0,8"
no you don't write on buttons,1,don't,"0,0,1,3,0,0"
tomato soup,0,None,
where,0,None,
how can I drink so much coffee,1,can,"0,7,0,3,0,0,0"
oh Adam will drink some coffee too,3,will,"0,0,9,3,0,0,0"
why don't you show Ursula your pumpkin candle,1,don't,"0,1,0,3,0,0,0,0"
did you have a pumpkin at Halloween,2,did,"2,0,3,0,0,0,0"
that's three,1,s,"4,0"
get your ball,1,get,"1,0,0"
is that a ball now,1,is,"1,0,0,0,0"
oh that's a ball right there,1,s,"0,4,0,0,0,0"
I don't know,1,don't,"0,1,3"
do you like grapefruit,1,don't,"1,0,3,0"
if you break it then you won't have a pumpkin,1,break,"0,0,1,0,0,0,9,3,0,0"
then you won't have a pumpkin,3,won't,"0,0,9,3,0,0"
poor pumpkin,0,None,
oh is that Pepper,1,is,"0,1,0,0"
he went out to the kitchen soon,2,went,"0,2,0,0,0,0,0"
you do it,1,do,"0,1,0"
don't touch,1,don't,"1,3"
what is that,1,is,"0,1,0"
my that would be a big hat,1,would,"0,0,7,3,0,0,0"
where would you wear a hat like that,1,would,"0,7,0,3,0,0,0,0"
you put the pencil in your mouth,2,put,"0,2,0,0,0,0,0"
that's not Daddy's suitcase,1,s,"4,0,0,0"
you knocked it over,2,knocked,"0,2,0,0"
buy milk,1,buy,"1,0"
is milk on there,1,is,"1,0,0,0"
bread in there,0,None,
what kind of bread,0,None,
milk,0,None,
what else,0,None,
beans,0,None,
what else,0,None,
salad,0,None,
what else,0,None,
yes what else,0,None,
milk,0,None,
fresh milk,0,None,
more candy,0,None,
is that Adam,1,is,"1,0,0"
it's not candy,1,s,"4,0,0"
what is that,1,is,"0,1,0"
Adam's suitcase,0,None,
where are you going,1,are,"0,1,0,5"
what will happen if you drop it,3,will,"0,9,0,0,0,3,0"
where do you go with one boot that size,1,do,"0,1,0,3,0,0,0,0,0"
is that a letter for somebody,1,is,"1,0,0,0,0,0"
whose letter is it,1,is,"0,0,1,0"
Adam's letter,0,None,
the paint came off in your mouth,2,came,"0,0,2,0,0,0,0"
what are you doing Adam,1,are,"0,1,0,5,0"
oh ice,0,None,
put it in your mouth,1,put,"1,0,0,0,0"
where are you going now,1,are,"0,1,0,5,0"
did you take the suitcase out,2,did,"2,0,3,0,0,0"
where're you going,1,re,"4,0,5"
what do you use that for,1,do,"0,1,0,3,0,0"
Adam what are you looking for,1,are,"0,0,1,0,5,0"
scissors,0,None,
they'll cut you and hurt,3,ll,"4,3,0,0,3"
cut finger nails,1,cut,"1,0,0"
they're too large,1,re,"4,0,0"
where,0,None,
no it's not broken,1,s,"0,4,0,0"
no that side isn't broken,1,isn't,"0,0,0,4,0"
do you have a whistle over there,1,do,"1,0,3,0,0,0,0"
the microphone,0,None,
careful,0,None,
no,0,None,
careful Adam,0,None,
big boys don't bother things like that,1,don't,"0,0,1,3,0,0,0"
the record's in the folder,1,s,"0,4,0,0,0"
the record is in the folder,1,is,"0,0,1,0,0,0"
is that yours,1,is,"1,0,0"
whose is that,1,is,"0,1,0"
Adam's,0,None,
is that yours,1,is,"1,0,0"
yours,0,None,
what's the name of that song,1,s,"4,0,0,0,0,0"
don't scratch the record,1,don't,"1,3,0,0"
put the toys in the basket,1,put,"1,0,0,0,0,0"
where is the record,1,is,"0,1,0,0"
in your hand,0,None,
see the record falling out_of the folder,1,see,"1,0,0,5,0,0,0,0"
no that's not the top to that,1,s,"0,4,0,0,0,0,0"
toys are in there,1,are,"0,1,0,0"
what toys are in there,1,are,"0,0,1,0,0"
what,0,None,
fish,0,None,
what kind of fish,0,None,
that's not a bus,1,s,"4,0,0,0"
that's part of a train,1,s,"4,0,0,0,0"
I still don't know what fish is in there,1,don't,"0,0,1,3,0,0,1,0,0"
I'll put it in the drawer,3,ll,"6,3,0,0,0,0"
careful with the record,0,None,
what is he doing,1,is,"0,1,0,5"
did Adam do that,2,did,"2,0,3,0"
the man did that,2,did,"0,0,2,0"
Adam did that,2,did,"0,2,0"
why did Adam do that,2,did,"0,2,0,0,0"
Adam take it off,1,take,"0,1,0,0"
what did you say it was the other day,2,did,"0,2,0,3,0,2,0,0,0"
it was the other day,2,was,"0,2,0,0,0"
nothing,0,None,
oh it's an airplane now,1,s,"0,4,0,0,0"
windmill,0,None,
what makes the windmill turn around,1,makes,"0,1,0,0,3,0"
what makes a real windmill turn around,1,makes,"0,1,0,0,0,3,0"
do you know,1,do,"1,0,3"
no you don't know,1,don't,"0,0,1,3"
I don't know,1,don't,"0,1,3"
where did you put it,2,did,"1,2,0,3,0"
I see it,1,see,"0,1,0"
I'm looking right at it,1,m,"4,5,0,0,0"
yes I'm looking,1,m,"0,4,5"
I'm not looking for anything,1,m,"4,0,5,0,0"
what are you doing now,1,are,"0,1,0,5,0"
oh you're looking at the windmill,1,re,"0,4,5,0,0,0"
you're turning it on,1,re,"4,5,0,0"
here comes an airplane,1,comes,"0,1,0,0"
what does an airplane say,1,does,"0,1,0,0,3"
do you want Mommy to take it and put it up,1,does,"1,0,3,0,0,3,0,0,3,0,0"
no,0,None,
you play with it without hitting anybody,1,play,"0,1,0,0,0,5,0"
get it again,1,get,"1,0,0"
no,0,None,
is that a flag,1,is,"1,0,0,0"
oh you're getting supper ready,1,re,"0,4,5,0,0"
what are we having,1,are,"0,1,0,5"
what else,0,None,
do you like tomato soup,1,do,"1,0,3,0,0"
no you don't like tomato soup,1,don't,"0,0,1,3,0,0"
you're making two bowls of tomato soup,1,re,"4,5,0,0,0,0,0"
what are you doing now,1,are,"0,1,0,5,0"
oh,0,None,
other side,0,None,
well what are you cooking down there,1,are,"0,0,1,0,5,0,0"
cooking water,0,None,"5,0"
what are you going to use the water for,3,are you going to,"0,1,0,5,0,0,0,0,0"
oh,0,None,
Adam swimming,0,None,"0,5"
do you want Mommy to take the whistle and put it up,1,do,"1,0,3,0,0,3,0,0,0,3,0,0"
it's here ,1,s,"4,0"
but not when you wanna throw it,1,wanna,"0,0,0,0,1,3,0"
when you throw it,1,throw,"0,0,1,0"
it hurts your head,1,hurts,"0,1,0,0"
don't throw it,1,don't,"1,3,0"
you'll hurt Mr Cromer's head,3,ll,"6,3,0,0,0"
you'll hurt Ursula too,3,ll,"6,3,0,0"
you'll hurt the suitcase too,3,ll,"6,3,0,0,0"
what did you hit that time,2,did,"0,2,0,3,0,0"
you hit the floor,2,hit,"0,2,0,0"
do you think ,1,do,"1,0,3"
you hurt the floor,1,hurt,"0,1,0,0"
hurt your knee,2,hurt,"2,0,0"
how did you hurt your knee,2,did,"0,2,0,3,0,0"
on the chair,0,None,
how did you hurt your arm,2,d,"0,2,0,3,0,0"
you hurt your arm on the chair,2,hurt,"0,2,0,0,0,0,0"
pick the play toys up,1,pick,"1,0,0,0,0"
that's a good boy,1,s,"4,0,0,0"
is that yellow,1,is,"1,0,0"
no that's not yellow,1,s,"0,4,0,0"
one part is black ,1,is,"0,0,1,0"
and the other is silver,1,is,"0,0,0,1,"
the papers are yellow,1,are,"0,0,1,0"
is that yours,1,is,"1,0,0"
who is Adam,1,is,"0,1,0"
thank you,1,thank,"1,0"
what are you checking,1,are,"0,1,0,5"
that's a radiator,1,s,"4,0,0"
there is another one in the kitchen,1,is,"0,1,0,0,0,0,0"
the other is hot,1,is,"0,0,1,0"
don't fall pencil,1,don't,"1,3,0"
I don't hurt myself ,1,don't,"0,1,3,0"
thank you,1,thank,"1,0"
time for bed,0,None,
is it time for bed,1,is,"1,0,0,0,0"
for whom,0,None,
for Mommy,0,None,
it's not time for bed for Adam,1,s,"4,0,0,0,0,0,0"
are you saying Bambi,1,are,"1,0,5,0"
over there,0,None,
oh you're going to show Ursula,3,re going to,"0,4,5,0,0,0"
Bambi,0,None,
what happened to Bambi,2,happened,"0,2,0,0"
Adam you give Bambi a ride,1,give,"0,0,1,0,0,0"
on your foot,0,None,
do you think ,1,think,"1,0,3"
he likes that,1,likes,"0,1,0"
alright you read book,1,read,"0,0,1,0"
ups_a_daisy you dropped your shoe,2,dropped,"0,0,0,0,2,0,0"
he ate his dinner on this table last night and he dropped some beans,2,ate,"0,2,0,0,0,0,0,0,0,0"
and he dropped some beans,2,dropped,"0,0,2,0,0"
Papa bear,0,None,
yes,0,None,
did you see bunny,2,did,"2,0,3,0"
the deer looks like Bambi,1,looks,"0,0,1,0,0"
bunny running,0,None,"0,5"
Mr Bear picked up the nails and carried them back to the woods,2,picked,"0,0,2,0,0,0,0,2,0,0,0,0,0"
and carried them back to the woods,2,carried,"0,2,0,0,0,0,0"
if he's not careful ,1,s,"0,4,0,0"
yes they will stick him,3,will,"0,0,9,4,0"
Mr Bear is dancing,1,is,"0,0,1,5"
he's dancing,1,s,"4,5"
Mr Bear is dancing,1,is,"0,0,1,5"
I just read them,2,read,"0,0,2,0"
now you take them over to Ursula,1,take,"0,0,1,0,0,0,0"
they're Ursula's books,1,s,"4,0,0"
no I just read them,2,read,"0,0,0,2,0"
you dropped a book,2,dropped,"0,2,0,0"
why don't you pick the books up ,1,don't,"0,1,0,4,0,0,0"
and take them over to Ursula,1,take,"0,1,0,0,0,0"
poor Ursula,0,None,
she needs her books,1,needs,"0,1,0,0"
poor Cromer,0,None,
mine,0,None,
what's yours,1,s,"4,0"
what's that,1,s,"4,0"
no that's a lion,1,s,"0,4,0,0"
hungry lion,0,None,
that's from the,1,s,"4,0,0"
Saggy Baggy Elephant,0,None,
hungry lion,0,None,
jelly,0,None,
oh thank you,1,thank,"0,1,0"
dear,0,None,
doggie,0,None,
lion,0,None,
doggie,0,None,
you tell me,1,tell,"0,1,0"
okay,0,None,
you go tell Ursula then,1,go,"0,1,3,0,0"
I thought you were going to tell her,2,thought,"0,2,0,2,5,0,3,0"
you were going to tell her,2,were,"0,2,5,0,3,0"
you hafta take it over there,1,hafta,"0,1,3,0,0,0"
where she is,1,is,"0,0,1"
oh you're going walking,1,re,"2,0,3,0,0,0"
alright,0,None,
did you step on the book,2,did,"2,0,3,0,0,0"
that's alright then ,1,s,"4,0,0"
if you didn't do it on purpose,2,didn't,"0,0,2,3,0,0,0"
lion,0,None,
he's hungry,1,s,"4,0"
what did you show her,2,did,"0,2,0,3,0"
grapefruit,0,None,
hm,0,None,
you turn it around,1,turn,"0,1,0,0"
I don't think ,1,don't,"0,1,3"
that really goes there do you,1,goes,"0,0,1,0,1,0"
yes that's pretty,1,s,"0,4,0"
one pretty,0,None,
no just leave it there on the bench,1,leave,"0,0,1,0,0,0,0,0"
off Perro,0,None,
oh,0,None,
yes it's alright,1,s,"0,4,0"
what's so funny,1,s,"4,0,0"
knock over,1,knock,"1,0"
go over,1,go,"1,0"
do you think ,1,do,"1,0,3"
that belongs there,1,belongs,"0,1,0"
yep,0,None,
is that what you do with your brush,1,is,"1,0,0,0,1,0,0,0"
what you do with your brush,1,do,"0,0,1,0,0,0"
you're turning it over,1,re,"4,5,0,0"
you're turning it around,1,re,"4,5,0,0"
around,0,None,
turning it around,0,None,"5,0,0"
that's your brush,1,s,"4,0,0"
that's not a hammer,1,s,"4,0,0,0"
that's not a hammer,1,s,"4,0,0,0"
what makes you think ,1,makes,"0,1,0,3"
that's a hammer,1,s,"4,0,0"
oh it looks like a hammer,1,looks,"0,0,1,0,0,0"
what is that,1,is,"0,1,0"
that's not a doggie,1,s,"4,0,0,0"
no that's a deer,1,s,"0,4,0,0"
oh you're a big boy,1,re,"0,4,0,0,0"
why are you turning that,1,are,"0,1,0,5,0"
now where are you going with his briefcase,1,are,"1,0,1,0,5,0,0,0"
well yes it's heavy,1,s,"0,0,4,0"
what are you brushing,1,are,"0,1,0,5"
brushing what,0,None,"5,0"
you're turning it over,1,re,"4,5,0,0"
what else,0,None,
sandwich,0,None,
oh you hurt your head on the table,2,hurt,"0,0,2,0,0,0,0,0"
that's right,1,s,"4,0"
chair,0,None,
the chair didn't hit your head did it,2,didn't,"0,0,2,3,0,0,2,0"
no the head hit the table,2,hit,"0,0,0,2,0,0"
that's right,0,None,
did you step on the books,2,did,"2,0,0,0,0,0"
Perro's going to read the book,3,s going to,"4,5,0,3,0,0"
oh Adam will read the book,3,will,"0,0,9,3,0,0"
you're excused,1,re,"4,8"
turn what over,1,turn,"1,0,0"
good morning,0,None,
good morning,0,None,
good morning,0,None,
I thought you were going to read to Perro,2,thought,"0,2,0,2,5,0,3,0,0"
you were going to read to Perro,2,were,"0,2,5,0,3,0,0"
here Perro Adam's going to read you a story,3,s going to,"0,0,4,5,0,3,0,0,0"
grandfather,0,None,
good morning to you,0,None,
what are you doing,1,are,"0,1,0,5"
oh laughing,0,None,"0,5"
what did Donald_Duck safety book say,2,did,"0,2,0,0,0,0,3"
you don't play with plugs do you,1,don't,"0,1,3,0,0,1,0"
you don't play with cords either,1,don't,"0,1,3,0,0,0"
put it down,1,put,"1,0,0"
no,0,None,
no it doesn't go there,1,doesn't,"0,0,1,3,0"
you put it ,1,put,"0,1,0"
where it belongs,1,belongs,"0,0,1"
yes,0,None,
no,0,None,
yes,0,None,
that's right,0,None,
you don't play with matches either do you,1,don't,"0,1,3,0,0,0,1,0"
yeah you dropped it,2,dropped,"0,0,2,0"
ups_a_daisy,0,None,
what are you doing,1,are,"0,1,0,4"
three,0,None,
well what happened to five six seven,2,happened,"0,0,2,0,0,0,0"
you don't know,1,don't,"0,1,3"
where did what go,2,did,"0,2,0,3"
that's no broom,1,s,"4,0,0"
that's brush,1,s,"4,0"
oh it looks like a broom ,1,looks,"0,0,1,0,0,0"
does it,1,does,"1,0"
what makes you think ,1,makes,"0,1,0,3"
it looks like a broom,1,looks,"0,1,0,0,0"
I can't put it together,1,can't,"0,7,3,0,0"
you hafta go get the car,1,hafta,"0,1,3,3,0,0"
you're welcome,1,re,"4,0"
what happened,2,happend,"0,2"
yes that is pretty,1,is,"0,0,1,0"
does it go there,1,does,"1,0,3,0"
what tickled,2,tickled,"0,2"
what got tickled you or the car,2,got,"0,2,8,0,0,0,0"
yep,0,None,
you're turning it over,1,re,"4,5,0,0"
oh funny,0,None,
what happened,2,happened,"0,2"
car dropped,2,dropped,"0,2"
you missed that,2,missed,"0,2,0"
I see it,1,see,"0,1,0"
I see it,1,see,"0,1,0"
what's he going to sit against ,1,s,"4,0,5,0,3,0"
if you take all the pillows off,1,take,"0,0,1,0,0,0,0"
how can he sit comfortably if you take all the pillows off,1,can,"0,7,0,3,0,0,0,1,0,0,0,0"
if you take all the pillows off,1,take,"0,0,1,0,0,0,0"
you don't know,1,don't,"0,1,3"
you're going to give him one,1,re going to,"4,5,0,3,0,0"
who uses a pillow on the floor for exercising,1,uses,"0,1,0,0,0,0,0,0,5"
all finished with your exercises,2,finished,"0,8,0,0,0"
why don't you put the pillows up,1,don't,"0,1,0,3,0,0,0"
saggy baggy,0,None,
do you see a seal,1,do,"1,0,3,0,0"
is that a seal,1,is,"1,0,0,0"
cat,0,None,
what are you doing,1,are,"0,1,0,5"
what are you writing,1,are,"0,1,0,5"
oh you're writing Cromer,1,re,"0,4,5,0"
food for growing a carrot,0,None,"0,0,5,0,0"
food,0,None,
what happened,2,happened,"0,2"
you dropped your pencil,2,dropped,"0,2,0,0"
you have some paper,1,have,"0,1,0,0"
somebody what,0,None,
where's somebody's paper,1,s,"4,0,0"
no give her her pencil back Adam,1,give,"0,1,0,0,0,0,0"
because you've been breaking pencils lately,1,ve,"0,4,8,5,0,0"
byebye birdie,0,None,
what kind of bird is that,1,is,"0,0,0,0,1,0"
here's my mail from this morning,1,s,"4,0,0,0,0,0"
letters the mailman brought,2,brought,"0,0,0,2"
that's a flute,1,s,"4,0,0"
there's enough room for you to sit there,1,s,"4,0,0,0,0,0,3,0"
alright,0,None,
get up there and sit down,1,get,"1,0,0,0,1,0"
and sit down,1,sit,"0,1,0"
oh you wanna watch it,1,wanna,"0,0,1,3,0"
I'm sorry,1,m,"4,0"
I don't think that's yellow,1,don't,"0,1,3,4,0"
yellow,0,None,
if that's yellow what color is this,1,s,"0,4,0,0,0,1,0"
don't do that,1,don't,"1,3,0"
you'll bend it,1,ll,"6,3,0"
and Daddy won't like it at all,3,won't,"0,0,9,3,0,0,0"
just touch that,1,touch,"0,1,0"
oh no you don't turn anything,1,don't,"0,0,0,1,3,0"
no,0,None,
because it will disrupt the machine,3,will,"0,0,9,3,0,0"
here a hammer,0,None,
oh that's not a hammer,1,s,"0,4,0,0,0"
what's that on it,1,s,"4,0,0,0"
oh Chicken_Little,0,None,
where did you see Chicken_Little,2,did,"0,2,0,3,0,0"
did you tell Mr Cromer what that was,2,did,"2,0,3,0,0,0,0,2"
what that was,2,was,"0,0,2"
you do,1,do,"0,1"
well what is it that you love,1,is,"0,0,1,0,0,0,1"
what is it,1,is,"0,1,0"
chewy,0,None,
chewing what,0,None,"5,0"
that's not a hammer,1,s,"4,0,0,0"
did you say thank you to Ursula,2,did,"2,0,3,1,0,0,0"
would you say thank you to David and Robin for me,1,would,"7,0,3,1,0,0,0,0,0,0,0"
what does a windmill do,1,does,"0,1,0,0,3"
sounds like,1,sounds,"1,0"
cracker,0,None,
silly boy,0,None,
yes you hafta blow your nose,1,hafta,"0,0,1,3,0,0"
don't you,1,don't,"1,0"
that's a nice flute,1,s,"4,0,0,0"
no that's a flute,1,s,"0,4,0,0"
it's round like a roller,1,s,"4,0,0,0,0"
but it's a flute,1,s,"0,4,0,0"
it's just from the rug honey,1,s,"4,0,0,0,0,0"
oh turning like a windmill,0,None,"0,5,0,0,0"
what else has wings like that,1,has,"0,0,1,0,0,0"
fish,0,None,
hammer,0,None,
oh here it is,1,is,"0,0,0,1"
what is that,1,is,"0,1,0"
part of your car,0,None,
what,0,None,
poor Adam,0,None,
did you hurt yourself,2,did,"2,0,3,0"
screw happened,2,happened,"0,2"
you didn't even have a screw,2,didn't,"0,2,0,3,0,0"
you didn't have a screw,2,didn't,"0,2,3,0,0"
you peekaboo back out in the kitchen with your juice,1,peekaboo,"0,1,0,0,0,0,0,0,0,0"
is that juice,1,is,"1,0,0"
table,0,None,
get broom,1,get,"1,0"
what's all_gone,1,s,"4,0,8"
collar,0,None,
color,0,None,
kitty,0,None,
oh you're going to draw a picture,1,re,"0,4,5,0,3,0,0"
no it's not broken,1,s,"0,4,0,0"
one at a time,0,None,
one at a time,0,None,
well he doesn't want that paper,1,doesn't,"0,0,1,3,0,0"
he has some nice paper,1,has,"0,1,0,0,0"
just checking,0,None,"0,5"
does it fit there,1,does,"1,0,3,0"
does it fit that way,1,does,"1,0,3,0,0"
does boy,1,does,"1,0"
go out in the kitchen,1,go,"1,0,0,0,0"
and get a napkin,1,get,"0,1,0,0"
and wipe it off,1,wipe,"0,1,0,0"
where did you put it,2,did,"0,2,0,3,0"
no Adam I'll hafta take the flute away if you do that,3,ll,"0,0,6,3,3,0,0,0,0,0,1,0"
if you do that,1,do,"0,0,1,0"
it's not hollow all the way down,1,s,"4,0,0,0,0,0,0"
look in that way and it's hollow,1,look,"1,0,0,0,0,4,0"
and it's hollow,1,s,"0,4,0"
it doesn't come out down there at the other end,1,doesn't,"0,1,3,0,0,0,0,0,0,0"
how many ends does it have,1,does,"0,0,0,1,0,3"
it doesn't belong there ,1,doesn't,"0,1,3,0"
just because there is a little hole,1,is,"0,0,0,1,0,0,0"
a little hole,0,None,
that doesn't belong there either,1,doesn't,"0,1,3,0,0"
you spilled your juice,2,spilled,"0,2,0,0"
no,0,None,
tell Ursula ,1,tell,"1,0"
you're sorry,1,re,"4,0"
what did you put it in the suitcase for,2,did,"0,2,0,3,0,0,0,0,0"
shall we do a game,1,shall,"7,0,3,0,0"
yes,0,None,
sit on the rug,1,sit,"1,0,0,0"
she dropped the papers,2,dropped,"0,2,0,0"
his face cloth got stuck in the drain,2,got,"0,0,0,2,8,0,0,0"
it got stuck in the drain,2,got,"0,2,8,0,0,0"
what is that,1,is,"0,1,0"
are those too many Adam,1,are,"1,0,0,0,0"
what is that,1,is,"0,1,0"
is that the way it goes,1,is,"1,0,0,0,0,1"
do you have a bed like that,1,do,"1,0,3,0,0,0,0"
you saw the pictures,2,saw,"0,2,0,0"
who is that,1,is,"0,1,0"
where did you see a giraffe last night,2,did,"0,2,0,3,0,0,0,0"
in the kitchen,0,None,
no you saw a giraffe on the television,2,saw,"0,0,2,0,0,0,0,0"
what is that,1,is,"0,1,0"
that's a kangaroo,1,s,"4,0,0"
what is that,1,is,"0,1,0"
what is that,1,is,"0,1,0"
sitting on what,0,None,"5,0,0"
something that's cold,1,s,"0,4,0"
ice,0,None,
what is that,1,is,"0,1,0"
pliers,0,None,
here's a leopard,1,s,"4,0,0"
look at this,1,look,"1,0,0"
that's a reindeer,1,s,"4,0,0"
what did you say that was,2,did,"0,2,0,3,0,2"
that was,2,was,"0,2"
what is that,1,is,"0,1,0"
what is that,1,is,"0,1,0"
what,0,None,
roller,0,None,
what is this,1,is,"0,1,0"
oh taking a shower,0,None,"0,5,0,0"
that's a lion,1,s,"4,0,0"
hungry lion yes,0,None,
that's right,1,s,"4,0"
he jumped up in the air and turned around and ran away as fast as he could go,2,jumped,"0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,7,3"
and turned around and ran away as fast as he could go,2,turned,"0,2,0,0,2,0,0,0,0,0,7,3"
and ran away as fast as he could go,2,ran,"0,2,0,0,0,0,0,7,3"
what did you say those were,2,did,"0,2,0,3,0,2"
penguins,0,None,
what is that,1,is,"0,1,0"
oh close the mouth,1,close,"0,0,0,0"
that's a hippopotamus,1,s,"4,0,0"
that's a porcupine,1,s,"4,0,0"
that's a knife now,1,s,"4,0,0,0"
what does the knife do,1,does,"0,1,0,0,0"
cock_a_doodle_doo,0,None,
who says cock_a_doodle_doo,1,says,"0,1,0,0,0,0"
who is that,1,is,"0,1,0"
that's a monkey,1,s,"4,0,0"
what is the monkey eating,1,is,"0,1,0,0,5"
eating crayon,0,None,"5,0"
what is this,1,is,"0,1,0"
rhinoceros,0,None,
what is he,1,is,"0,1,0"
that's a fox,1,s,"4,0,0"
what's that,1,s,"4,0"
what is he,1,is,"0,1,0"
that's a panda,1,s,"4,0,0"
what's that,1,s,"4,0"
what is that,1,is,"0,1,0"
his legs are strong,1,are,"0,0,1,0"
sing a song,1,sing,"1,0,0"
I don't think,1,don't,"0,1,3"
that car is broken,1,is,"0,0,1,0"
what are you doing,1,are,"0,1,0,5"
oh,0,None,
fixing the shoe,0,None,"5,0,0"
