,Sentence,Tense,Verb,NER Tag
1558,is that yours,1,is,"1,0,0"
1559,who is Adam,1,is,"0,1,0"
1560,thank you,1,thank,"1,0"
1561,what are you checking,1,are,"0,1,0,5"
1562,that's a radiator,1,s,"4,0,0"
1563,there is another one in the kitchen,1,is,"0,1,0,0,0,0,0"
1564,the other is hot,1,is,"0,0,1,0"
1565,don't fall pencil,1,don't,"1,3,0"
1566,I don't hurt myself,1,don't,"0,1,3,0"
1567,thank you,1,thank,"1,0"
1568,time for bed,0,None,"0,0,0"
1569,is it time for bed,1,is,"1,0,0,0,0"
1570,for whom,0,None,"0,0"
1571,for Mommy,0,None,"0,0"
1572,it's not time for bed for Adam,1,s,"4,0,0,0,0,0,0"
1573,are you saying Bambi,1,are,"1,0,5,0"
1574,over there,0,None,"0,0"
1575,oh you're going to show Ursula,3,re going to,"0,4,5,0,0,0"
1576,Bambi,0,None,0
1577,what happened to Bambi,2,happened,"0,2,0,0"
1578,Adam you give Bambi a ride,1,give,"0,0,1,0,0,0"
1579,on your foot,0,None,"0,0,0"
1580,do you think,1,think,"1,0,3"
1581,he likes that,1,likes,"0,1,0"
1582,alright you read book,1,read,"0,0,1,0"
1583,ups a daisy you dropped your shoe,2,dropped,"0,0,0,0,2,0,0"
1584,he ate his dinner on this table last night and he dropped some beans,2,ate,"0,2,0,0,0,0,0,0,0,0,0,2,0,0"
1585,and he dropped some beans,2,dropped,"0,0,2,0,0"
1586,Papa bear,0,None,"0,0"
1587,yes,0,None,0
1588,did you see bunny,2,did,"2,0,3,0"
1589,the deer looks like Bambi,1,looks,"0,0,1,0,0"
1590,bunny running,0,None,"0,5"
1591,Mr Bear picked up the nails and carried them back to the woods,2,picked,"0,0,2,0,0,0,0,2,0,0,0,0,0"
1592,and carried them back to the woods,2,carried,"0,2,0,0,0,0,0"
1593,if he's not careful,1,s,"0,4,0,0"
1594,yes they will stick him,3,will,"0,0,9,4,0"
1595,Mr Bear is dancing,1,is,"0,0,1,5"
1596,he's dancing,1,s,"4,5"
1597,Mr Bear is dancing,1,is,"0,0,1,5"
1598,I just read them,2,read,"0,0,2,0"
1599,now you take them over to Ursula,1,take,"0,0,1,0,0,0,0"
1600,they're Ursula's books,1,s,"4,0,0"
1601,no I just read them,2,read,"0,0,0,2,0"
1602,you dropped a book,2,dropped,"0,2,0,0"
1603,why don't you pick the books up,1,don't,"0,1,0,4,0,0,0"
1604,and take them over to Ursula,1,take,"0,1,0,0,0,0"
1605,poor Ursula,0,None,"0,0"
1606,she needs her books,1,needs,"0,1,0,0"
1607,poor Cromer,0,None,"0,0"
1608,mine,0,None,0
1609,what's yours,1,s,"4,0"
1610,what's that,1,s,"4,0"
1611,no that's a lion,1,s,"0,4,0,0"
1612,hungry lion,0,None,"0,0"
1613,that's from the,1,s,"4,0,0"
1614,Saggy Baggy Elephant,0,None,"0,0,0"
1615,hungry lion,0,None,"0,0"
1616,jelly,0,None,0
1617,oh thank you,1,thank,"0,1,0"
1618,dear,0,None,0
1619,doggie,0,None,0
1620,lion,0,None,0
1621,doggie,0,None,0
1622,you tell me,1,tell,"0,1,0"
1623,okay,0,None,0
1624,you go tell Ursula then,1,go,"0,1,3,0,0"
1625,I thought you were going to tell her,2,thought,"0,2,0,2,5,0,3,0"
1626,you were going to tell her,2,were,"0,2,5,0,3,0"
1627,you hafta take it over there,1,hafta,"0,1,3,0,0,0"
1628,where she is,1,is,"0,0,1"
1629,oh you're going walking,1,re,"0,4,5,5"
1630,alright,0,None,0
1631,did you step on the book,2,did,"2,0,3,0,0,0"
1632,that's alright then,1,s,"4,0,0"
1633,if you didn't do it on purpose,2,didn't,"0,0,2,3,0,0,0"
1634,lion,0,None,0
1635,he's hungry,1,s,"4,0"
1636,what did you show her,2,did,"0,2,0,3,0"
1637,grapefruit,0,None,0
1638,hm,0,None,0
1639,you turn it around,1,turn,"0,1,0,0"
1640,I don't think,1,don't,"0,1,3"
1641,that really goes there do you,1,goes,"0,0,1,0,1,0"
1642,yes that's pretty,1,s,"0,4,0"
1643,one pretty,0,None,"0,0"
1644,no just leave it there on the bench,1,leave,"0,0,1,0,0,0,0,0"
1645,off Perro,0,None,"0,0"
1646,oh,0,None,0
1647,yes it's alright,1,s,"0,4,0"
1648,what's so funny,1,s,"4,0,0"
1649,knock over,1,knock,"1,0"
1650,go over,1,go,"1,0"
1651,do you think,1,do,"1,0,3"
1652,that belongs there,1,belongs,"0,1,0"
1653,yep,0,None,0
1654,is that what you do with your brush,1,is,"1,0,0,0,1,0,0,0"
1655,what you do with your brush,1,do,"0,0,1,0,0,0"
1656,you're turning it over,1,re,"4,5,0,0"
1657,you're turning it around,1,re,"4,5,0,0"
1658,around,0,None,0
1659,turning it around,0,None,"5,0,0"
1660,that's your brush,1,s,"4,0,0"
1661,that's not a hammer,1,s,"4,0,0,0"
1662,that's not a hammer,1,s,"4,0,0,0"
1663,what makes you think,1,makes,"0,1,0,3"
1664,that's a hammer,1,s,"4,0,0"
1665,oh it looks like a hammer,1,looks,"0,0,1,0,0,0"
1666,what is that,1,is,"0,1,0"
1667,that's not a doggie,1,s,"4,0,0,0"
1668,no that's a deer,1,s,"0,4,0,0"
1669,oh you're a big boy,1,re,"0,4,0,0,0"
1670,why are you turning that,1,are,"0,1,0,5,0"
1671,now where are you going with his briefcase,1,are,"1,0,1,0,5,0,0,0"
1672,well yes it's heavy,1,s,"0,0,4,0"
1673,what are you brushing,1,are,"0,1,0,5"
1674,brushing what,0,None,"5,0"
1675,you're turning it over,1,re,"4,5,0,0"
1676,what else,0,None,"0,0"
1677,sandwich,0,None,0
1678,oh you hurt your head on the table,2,hurt,"0,0,2,0,0,0,0,0"
1679,that's right,1,s,"4,0"
1680,chair,0,None,0
1681,the chair didn't hit your head did it,2,didn't,"0,0,2,3,0,0,2,0"
1682,no the head hit the table,2,hit,"0,0,0,2,0,0"
1683,that's right,0,None,"0,0"
1684,did you step on the books,2,did,"2,0,0,0,0,0"
1685,Perro's going to read the book,3,s going to,"4,5,0,3,0,0"
1686,oh Adam will read the book,3,will,"0,0,9,3,0,0"
1687,you're excused,1,re,"4,8"
1688,turn what over,1,turn,"1,0,0"
1689,good morning,0,None,"0,0"
1690,good morning,0,None,"0,0"
1691,good morning,0,None,"0,0"
1692,I thought you were going to read to Perro,2,thought,"0,2,0,2,5,0,3,0,0"
1693,you were going to read to Perro,2,were,"0,2,5,0,3,0,0"
1694,here Perro Adam's going to read you a story,3,s going to,"0,0,4,5,0,3,0,0,0"
1695,grandfather,0,None,0
1696,good morning to you,0,None,"0,0,0,0"
1697,what are you doing,1,are,"0,1,0,5"
1698,oh laughing,0,None,"0,5"
1699,what did Donald Duck safety book say,2,did,"0,2,0,0,0,0,3"
1700,you don't play with plugs do you,1,don't,"0,1,3,0,0,1,0"
1701,you don't play with cords either,1,don't,"0,1,3,0,0,0"
1702,put it down,1,put,"1,0,0"
1703,no,0,None,0
1704,no it doesn't go there,1,doesn't,"0,0,1,3,0"
1705,you put it,1,put,"0,1,0"
1706,where it belongs,1,belongs,"0,0,1"
1707,yes,0,None,0
1708,no,0,None,0
1709,yes,0,None,0
1710,that's right,0,None,"0,0"
1711,you don't play with matches either do you,1,don't,"0,1,3,0,0,0,1,0"
1712,yeah you dropped it,2,dropped,"0,0,2,0"
1713,ups a daisy,0,None,0
1714,what are you doing,1,are,"0,1,0,4"
1715,three,0,None,0
1716,well what happened to five six seven,2,happened,"0,0,2,0,0,0,0"
1717,you don't know,1,don't,"0,1,3"
1718,where did what go,2,did,"0,2,0,3"
1719,that's no broom,1,s,"4,0,0"
1720,that's brush,1,s,"4,0"
1721,oh it looks like a broom,1,looks,"0,0,1,0,0,0"
1722,does it,1,does,"1,0"
1723,what makes you think,1,makes,"0,1,0,3"
1724,it looks like a broom,1,looks,"0,1,0,0,0"
1725,I can't put it together,1,can't,"0,7,3,0,0"
1726,you hafta go get the car,1,hafta,"0,1,3,3,0,0"
1727,you're welcome,1,re,"4,0"
1728,what happened,2,happend,"0,2"
1729,yes that is pretty,1,is,"0,0,1,0"
1730,does it go there,1,does,"1,0,3,0"
1731,what tickled,2,tickled,"0,2"
1732,what got tickled you or the car,2,got,"0,2,8,0,0,0,0"
1733,yep,0,None,0
1734,you're turning it over,1,re,"4,5,0,0"
1735,oh funny,0,None,"0,0"
1736,what happened,2,happened,"0,2"
1737,car dropped,2,dropped,"0,2"
1738,you missed that,2,missed,"0,2,0"
1739,I see it,1,see,"0,1,0"
1740,I see it,1,see,"0,1,0"
1741,what's he going to sit against,1,s,"4,0,5,0,3,0"
1742,if you take all the pillows off,1,take,"0,0,1,0,0,0,0"
1743,how can he sit comfortably if you take all the pillows off,1,can,"0,7,0,3,0,0,0,1,0,0,0,0"
1744,if you take all the pillows off,1,take,"0,0,1,0,0,0,0"
1745,you don't know,1,don't,"0,1,3"
1746,you're going to give him one,1,re going to,"4,5,0,3,0,0"
1747,who uses a pillow on the floor for exercising,1,uses,"0,1,0,0,0,0,0,0,5"
1748,all finished with your exercises,2,finished,"0,8,0,0,0"
1749,why don't you put the pillows up,1,don't,"0,1,0,3,0,0,0"
1750,saggy baggy,0,None,"0,0"
1751,do you see a seal,1,do,"1,0,3,0,0"
1752,is that a seal,1,is,"1,0,0,0"
1753,cat,0,None,0
1754,what are you doing,1,are,"0,1,0,5"
1755,what are you writing,1,are,"0,1,0,5"
1756,oh you're writing Cromer,1,re,"0,4,5,0"
1757,food for growing a carrot,0,None,"0,0,5,0,0"
1758,food,0,None,0
1759,what happened,2,happened,"0,2"
1760,you dropped your pencil,2,dropped,"0,2,0,0"
1761,you have some paper,1,have,"0,1,0,0"
1762,somebody what,0,None,"0,0"
1763,where's somebody's paper,1,s,"4,0,0"
1764,no give her her pencil back Adam,1,give,"0,1,0,0,0,0,0"
1765,because you've been breaking pencils lately,1,ve,"0,4,8,5,0,0"
1766,byebye birdie,0,None,"0,0"
1767,what kind of bird is that,1,is,"0,0,0,0,1,0"
1768,here's my mail from this morning,1,s,"4,0,0,0,0,0"
1769,letters the mailman brought,2,brought,"0,0,0,2"
1770,that's a flute,1,s,"4,0,0"
1771,there's enough room for you to sit there,1,s,"4,0,0,0,0,0,3,0"
1772,alright,0,None,0
1773,get up there and sit down,1,get,"1,0,0,0,1,0"
1774,and sit down,1,sit,"0,1,0"
1775,oh you wanna watch it,1,wanna,"0,0,1,3,0"
1776,I'm sorry,1,m,"4,0"
1777,I don't think that's yellow,1,don't,"0,1,3,4,0"
1778,yellow,0,None,0
1779,if that's yellow what color is this,1,s,"0,4,0,0,0,1,0"
1780,don't do that,1,don't,"1,3,0"
1781,you'll bend it,1,ll,"6,3,0"
1782,and Daddy won't like it at all,3,won't,"0,0,9,3,0,0,0"
1783,just touch that,1,touch,"0,1,0"
1784,oh no you don't turn anything,1,don't,"0,0,0,1,3,0"
1785,no,0,None,0
1786,because it will disrupt the machine,3,will,"0,0,9,3,0,0"
1787,here a hammer,0,None,"0,0,0"
1788,oh that's not a hammer,1,s,"0,4,0,0,0"
1789,what's that on it,1,s,"4,0,0,0"
1790,oh Chicken Little,0,None,"0,0"
1791,where did you see Chicken Little,2,did,"0,2,0,3,0,0"
1792,did you tell Mr Cromer what that was,2,did,"2,0,3,0,0,0,0,2"
1793,what that was,2,was,"0,0,2"
1794,you do,1,do,"0,1"
1795,well what is it that you love,1,is,"0,0,1,0,0,0,1"
1796,what is it,1,is,"0,1,0"
1797,chewy,0,None,0
1798,chewing what,0,None,"5,0"
1799,that's not a hammer,1,s,"4,0,0,0"
1800,did you say thank you to Ursula,2,did,"2,0,3,1,0,0,0"
1801,would you say thank you to David and Robin for me,1,would,"7,0,3,1,0,0,0,0,0,0,0"
1802,what does a windmill do,1,does,"0,1,0,0,3"
1803,sounds like,1,sounds,"1,0"
1804,cracker,0,None,0
1805,silly boy,0,None,"0,0"
1806,yes you hafta blow your nose,1,hafta,"0,0,1,3,0,0"
1807,don't you,1,don't,"1,0"
1808,that's a nice flute,1,s,"4,0,0,0"
1809,no that's a flute,1,s,"0,4,0,0"
1810,it's round like a roller,1,s,"4,0,0,0,0"
1811,but it's a flute,1,s,"0,4,0,0"
1812,it's just from the rug honey,1,s,"4,0,0,0,0,0"
1813,oh turning like a windmill,0,None,"0,5,0,0,0"
1814,what else has wings like that,1,has,"0,0,1,0,0,0"
1815,fish,0,None,0
1816,hammer,0,None,0
1817,oh here it is,1,is,"0,0,0,1"
1818,what is that,1,is,"0,1,0"
1819,part of your car,0,None,"0,0,0,0"
1820,what,0,None,0
1821,poor Adam,0,None,"0,0"
1822,did you hurt yourself,2,did,"2,0,3,0"
1823,screw happened,2,happened,"0,2"
1824,you didn't even have a screw,2,didn't,"0,2,0,3,0,0"
1825,you didn't have a screw,2,didn't,"0,2,3,0,0"
1826,you peekaboo back out in the kitchen with your juice,1,peekaboo,"0,1,0,0,0,0,0,0,0,0"
1827,is that juice,1,is,"1,0,0"
1828,table,0,None,0
1829,get broom,1,get,"1,0"
1830,what's all gone,1,s,"4,0,8"
1831,collar,0,None,0
1832,color,0,None,0
1833,kitty,0,None,0
1834,oh you're going to draw a picture,1,re,"0,4,5,0,3,0,0"
1835,no it's not broken,1,s,"0,4,0,0"
1836,one at a time,0,None,"0,0,0,0"
1837,one at a time,0,None,"0,0,0,0"
1838,well he doesn't want that paper,1,doesn't,"0,0,1,3,0,0"
1839,he has some nice paper,1,has,"0,1,0,0,0"
1840,just checking,0,None,"0,5"
1841,does it fit there,1,does,"1,0,3,0"
1842,does it fit that way,1,does,"1,0,3,0,0"
1843,does boy,1,does,"1,0"
1844,go out in the kitchen,1,go,"1,0,0,0,0"
1845,and get a napkin,1,get,"0,1,0,0"
1846,and wipe it off,1,wipe,"0,1,0,0"
1847,where did you put it,2,did,"0,2,0,3,0"
1848,no Adam I'll hafta take the flute away if you do that,3,ll,"0,0,6,3,3,0,0,0,0,0,1,0"
1849,if you do that,1,do,"0,0,1,0"
1850,it's not hollow all the way down,1,s,"4,0,0,0,0,0,0"
1851,look in that way and it's hollow,1,look,"1,0,0,0,0,4,0"
1852,and it's hollow,1,s,"0,4,0"
1853,it doesn't come out down there at the other end,1,doesn't,"0,1,3,0,0,0,0,0,0,0"
1854,how many ends does it have,1,does,"0,0,0,1,0,3"
1855,it doesn't belong there,1,doesn't,"0,1,3,0"
1856,just because there is a little hole,1,is,"0,0,0,1,0,0,0"
1857,a little hole,0,None,"0,0,0"
1858,that doesn't belong there either,1,doesn't,"0,1,3,0,0"
1859,you spilled your juice,2,spilled,"0,2,0,0"
1860,no,0,None,0
1861,tell Ursula,1,tell,"1,0"
1862,you're sorry,1,re,"4,0"
1863,what did you put it in the suitcase for,2,did,"0,2,0,3,0,0,0,0,0"
1864,shall we do a game,1,shall,"7,0,3,0,0"
1865,yes,0,None,0
1866,sit on the rug,1,sit,"1,0,0,0"
1867,she dropped the papers,2,dropped,"0,2,0,0"
1868,his face cloth got stuck in the drain,2,got,"0,0,0,2,8,0,0,0"
1869,it got stuck in the drain,2,got,"0,2,8,0,0,0"
1870,what is that,1,is,"0,1,0"
1871,are those too many Adam,1,are,"1,0,0,0,0"
1872,what is that,1,is,"0,1,0"
1873,is that the way it goes,1,is,"1,0,0,0,0,1"
1874,do you have a bed like that,1,do,"1,0,3,0,0,0,0"
1875,you saw the pictures,2,saw,"0,2,0,0"
1876,who is that,1,is,"0,1,0"
1877,where did you see a giraffe last night,2,did,"0,2,0,3,0,0,0,0"
1878,in the kitchen,0,None,"0,0,0"
1879,no you saw a giraffe on the television,2,saw,"0,0,2,0,0,0,0,0"
1880,what is that,1,is,"0,1,0"
1881,that's a kangaroo,1,s,"4,0,0"
1882,what is that,1,is,"0,1,0"
1883,what is that,1,is,"0,1,0"
1884,sitting on what,0,None,"5,0,0"
1885,something that's cold,1,s,"0,4,0"
1886,ice,0,None,0
1887,what is that,1,is,"0,1,0"
1888,pliers,0,None,0
1889,here's a leopard,1,s,"4,0,0"
1890,look at this,1,look,"1,0,0"
1891,that's a reindeer,1,s,"4,0,0"
1892,what did you say that was,2,did,"0,2,0,3,0,2"
1893,that was,2,was,"0,2"
1894,what is that,1,is,"0,1,0"
1895,what is that,1,is,"0,1,0"
1896,what,0,None,0
1897,roller,0,None,0
1898,what is this,1,is,"0,1,0"
1899,oh taking a shower,0,None,"0,5,0,0"
1900,that's a lion,1,s,"4,0,0"
1901,hungry lion yes,0,None,"0,0,0"
1902,that's right,1,s,"4,0"
1903,he jumped up in the air and turned around and ran away as fast as he could go,2,jumped,"0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,7,3"
1904,and turned around and ran away as fast as he could go,2,turned,"0,2,0,0,2,0,0,0,0,0,7,3"
1905,and ran away as fast as he could go,2,ran,"0,2,0,0,0,0,0,7,3"
1906,what did you say those were,2,did,"0,2,0,3,0,2"
1907,penguins,0,None,0
1908,what is that,1,is,"0,1,0"
1909,oh close the mouth,1,close,"0,0,0,0"
1910,that's a hippopotamus,1,s,"4,0,0"
1911,that's a porcupine,1,s,"4,0,0"
1912,that's a knife now,1,s,"4,0,0,0"
1913,what does the knife do,1,does,"0,1,0,0,0"
1914,cock a doodle doo,0,None,0
1915,who says cock a doodle doo,1,says,"0,1,0,0,0,0"
1916,who is that,1,is,"0,1,0"
1917,that's a monkey,1,s,"4,0,0"
1918,what is the monkey eating,1,is,"0,1,0,0,5"
1919,eating crayon,0,None,"5,0"
1920,what is this,1,is,"0,1,0"
1921,rhinoceros,0,None,0
1922,what is he,1,is,"0,1,0"
1923,that's a fox,1,s,"4,0,0"
1924,what's that,1,s,"4,0"
1925,what is he,1,is,"0,1,0"
1926,that's a panda,1,s,"4,0,0"
1927,what's that,1,s,"4,0"
1928,what is that,1,is,"0,1,0"
1929,his legs are strong,1,are,"0,0,1,0"
1930,sing a song,1,sing,"1,0,0"
1931,I don't think,1,don't,"0,1,3"
1932,that car is broken,1,is,"0,0,1,0"
1933,what are you doing,1,are,"0,1,0,5"
1934,oh,0,None,0
1935,fixing the shoe,0,None,"5,0,0"
1936,who fixes shoes,1,fixes,"0,1,0"
1937,who me tickle,1,tickle,"0,0,1"
1938,who tickle me,1,tickle,"0,1,0"
1939,I tickle you,1,tickle,"0,1,0"
1940,what's that,1,s,"4,0"
1941,do you know his name,1,do,"1,0,3,0,0"
1942,no name,0,None,"0,0"
1943,is that pretty,1,is,"1,0,0"
1944,what is that,1,is,"0,1,0"
1945,what is that,1,is,"0,1,0"
1946,trunk,0,None,0
1947,that's the elephant's trunk,1,s,"4,0,0,0"
1948,where are his feet,1,are,"0,1,0,0"
1949,how many feet,0,None,"0,0,0"
1950,how many eyes,0,None,"0,0,0"
1951,ten eyes,0,None,"0,0"
1952,oh my that elephant can see everything can't he,1,can,"0,0,0,0,7,3,0,7,0"
1953,yes you did miss,2,did,"0,0,2,3"
1954,yes you missed,2,missed,"0,0,2"
1955,what happened,2,happened,"0,2"
1956,oh is that a train whistle,1,is,"0,1,0,0,0,0"
1957,what's its name,1,s,"4,0,0"
1958,oh it's a horn,1,s,"0,4,0,0"
1959,hole,0,None,0
1960,that's what makes it whistle,1,s,"4,0,1,0,3"
1961,what makes it whistle,1,makes,"0,1,0,3"
1962,is that a pipe,1,is,"1,0,0,0"
1963,there's a shell on the end,1,s,"4,0,0,0,0,0"
1964,no,0,None,0
1965,he's checking his watch,1,s,"4,5,0,0"
1966,make a noise,1,make,"1,0,0"
1967,go and ask Ursula about that,1,go,"1,0,1,0,0,0"
1968,and ask Ursula about that,1,ask,"0,1,0,0,0"
1969,what happened to the paper,2,happened,"0,2,0,0,0"
1970,kangaroo,0,None,0
1971,who had a whistle like that,2,had,"0,2,0,0,0,0"
1972,no it's tape,1,s,"0,4,0"
1973,how many are there,1,are,"0,0,1,0"
1974,oh no she doesn't need that now,1,doesn't,"0,0,0,1,3,0,0"
1975,jack yes,0,None,"0,0"
1976,where are the pennies,1,are,"0,1,0,0"
1977,you don't know,1,don't,"0,1,3"
1978,I don't know,1,don't,"0,1,3"
1979,I hear them but I don't see them,1,hear,"0,1,0,0,0,1,3,0"
1980,but I don't see them,1,don't,"0,0,1,3,0"
1981,you'd forgotten you had the cap on top,2,d,"4,8,0,2,0,0,0,0"
1982,you had the cap on top,2,had,"0,2,0,0,0,0"
1983,potato,0,None,0
1984,potato,0,None,0
1985,turkey pie,0,None,"0,0"
1986,what about turkey pie,0,None,"0,0,0,0"
1987,it was hot and he put it in the refrigerator the cup,2,was,"0,2,0,0,0,2,0,0,0,0,0,0"
1988,he put it in the refrigerator the cup,2,put,"0,2,0,0,0,0,0,0"
1989,sardines,0,None,0
1990,no not sardines sardines,0,None,"0,0,0,0"
1991,what about turkey pie,0,None,"0,0,0,0"
1992,do you like turkey pie,1,do,"1,0,3,0,0"
1993,turkey pie,0,None,"0,0"
1994,turkey pie,0,None,"0,0"
1995,did you find the penny,2,did,"2,0,3,0,0"
1996,no,0,None,0
1997,don't touch,1,don't,"1,3"
1998,don't touch that,1,don't,"1,3,0"
1999,no Adam,0,None,"0,0"
2000,what is the reel of tape doing,1,is,"0,1,0,0,0,0,5"
2001,it's going around,1,s,"4,5,0"
2002,down first,0,None,"0,0"
2003,turkey pine go,1,go,"0,0,1"
2004,turkey pine for,0,None,"0,0,0"
2005,what's that,1,s,"4,0"
2006,a star yes,0,None,"0,0,0"
2007,not Texaco star,0,None,"0,0,0"
2008,all stars don't belong to Texaco,1,don't,"0,0,1,3,0,0"
2009,what's this,1,s,"4,0"
2010,what's that,1,s,"4,0"
2011,apple cider,0,None,"0,0"
2012,what are those,1,are,"0,1,0"
2013,corn,0,None,0
2014,what's this,1,s,"4,0"
2015,Chicken Little,0,None,0
2016,that's not Chicken Little,1,s,"4,0,0,0"
2017,apple cider,0,None,"0,0"
2018,what's that,1,s,"4,0"
2019,you've never seen one of those have you,1,ve,"4,0,8,0,0,0,1,0"
2020,spider yes,0,None,"0,0"
2021,spider in the book,0,None,"0,0,0,0"
2022,potato,0,None,0
2023,what are you doing Adam,1,are,"0,1,0,5,0"
2024,shopping,0,None,0
2025,what did you say,2,did,"0,2,0,3"
2026,cranberry what,0,None,"0,0"
2027,would you like some cranberry juice,1,would,"7,0,3,0,0,0"
2028,would you like some,1,would,"7,0,3,0"
2029,did you ask Ursula about the shell,2,did,"2,0,3,0,0,0,0"
2030,the coffee pot,0,None,"0,0,0"
2031,oh is this a train whistle,1,is,"0,1,0,0,0,0"
2032,what does the train whistle tell you to do,1,does,"0,1,0,0,0,3,0,0,3"
2033,tell you to do,1,tell,"1,0,0,3"
2034,where did you get my thread,2,did,"0,2,0,3,0,0"
2035,where did you get it,2,did,"0,2,0,3,0"
2036,see it yes,1,see,"1,0,0"
2037,but don't take it off,1,don't,"0,1,3,0,0"
2038,no play with that hurt self,1,play,"0,1,0,0,1,0"
2039,that hurt self,1,hurt,"0,1,0"
2040,why will I hurt myself if you won't hurt yourself,3,will,"0,9,0,3,0,0,0,9,3,0"
2041,if you won't hurt yourself,3,won't,"0,0,9,3,0"
2042,that's yours,1,s,"4,0"
2043,I'll hurt myself if I play with your toy,3,ll,"6,3,0,0,0,1,0,0,0"
2044,if I play with your toy,1,play,"0,0,1,0,0,0"
2045,is that right,1,is,"1,0,0"
2046,play with mommy's slipper,1,play,"1,0,0,0"
2047,what slipper,0,None,"0,0"
2048,people,0,None,0
2049,did you say thank you to Ursula,2,did,"2,0,3,1,0,0,0"
2050,that's not Ursula,1,s,"4,0,0"
2051,no that's a microphone,1,s,"0,4,0,0"
2052,e e o what,0,None,"0,0,0,0"
2053,Adam your juice is out here,1,is,"0,0,0,1,0,0"
2054,play momma's slipper,1,s,"1,0,0"
2055,who does,1,does,"0,1"
2056,oh the dog,0,None,"0,0,0"
2057,what's the doggie's name,1,s,"4,0,0,0"
2058,what,0,None,0
2059,the doggie plays with mommy's slipper,1,plays,"0,0,1,0,0,0"
2060,you going to let the doggie talk on the microphone,0,None,"0,5,0,3,0,0,3,0,0,0"
2061,big and strong,0,None,"0,0,0"
2062,who is big and strong,1,is,"0,1,0,0,0"
2063,Cromer is big and strong,1,is,"0,1,0,0,0"
2064,come from,1,come,"1,0"
2065,who is Joey,1,is,"0,1,0"
2066,play with momma's slipper,1,play,"1,0,0,0"
2067,who plays with momma's slipper,1,plays,"0,1,0,0,0"
2068,who does,1,does,"0,1"
2069,what,0,None,0
2070,something about feet,0,None,"0,0,0"
2071,whose feet,0,None,"0,0"
2072,oh,0,None,0
2073,Cecile,0,None,0
2074,Cecile,0,None,0
2075,are you being a little doggie,1,are,"1,0,5,0,0,0"
2076,oh you're playing with the slipper,1,re,"0,4,5,0,0,0"
2077,that's a train,1,s,"4,0,0"
2078,excuse me,1,excuse,"1,0"
2079,where are you going,1,are,"0,1,0,5"
2080,she didn't say tape recorder,2,didn't,"0,2,3,0,0"
2081,she said cork,2,said,"0,2,0"
2082,part of the tape recorder,0,None,"0,0,0,0,0"
2083,tape recorder,0,None,"0,0"
2084,that's not a taper,1,s,"4,0,0,0"
2085,it's a tape recorder,1,s,"4,0,0,0"
2086,this is a microphone,1,is,"0,1,0,0"
2087,no that's tape,1,s,"0,4,0"
2088,mittens,0,None,0
2089,you dropped your mittens,2,dropped,"0,2,0,0"
2090,you dropped your boots,2,dropped,"0,2,0,0"
2091,you dropped your mitten,2,dropped,"0,2,0,0"
2092,oh,0,None,0
2093,that's right,1,s,"4,0"
2094,you dropped your boot,2,dropped,"0,2,0,0"
2095,who lost their mittens,2,lost,"0,2,0,0"
2096,oh you dropped your boots,2,dropped,"0,0,2,0,0"
2097,roadgrader,0,None,0
2098,what about a roadgrader,0,None,"0,0,0,0"
2099,what's right,1,s,"4,0"
2100,what's right,1,s,"4,0"
2101,careful Adam,0,None,"0,0"
2102,keep mitten on,1,keep,"1,0,0"
2103,careful honey,0,None,"0,0"
2104,careful of the tape recorder,0,None,"0,0,0,0,0"
2105,tape recorder,0,None,"0,0"
2106,oh that's the mitten,1,s,"0,4,0,0"
2107,whose mitten is that,1,is,"0,0,1,0"
2108,little boy's mitten,0,None,"0,0,0"
2109,what's the little boy's name,1,s,"4,0,0,0,0"
2110,little boy sleeping,0,None,"0,0,5"
2111,what's the little boy's name,1,s,"4,0,0,0,0"
2112,Smith,0,None,0
2113,where does the little boy live,1,does,"0,1,0,0,0,0"
2114,lives in a house,1,lives,"1,0,0,0"
2115,where's the little boy's house,1,s,"4,0,0,0,0"
2116,right there,0,None,"0,0"
2117,oh,0,None,0
2118,you're going to put it together,1,re,"4,5,0,3,0,0"
2119,what are you going to do now,1,are,"0,1,0,5,0,3,0"
2120,oh you dropped your mitten,2,dropped,"0,0,2,0,0"
2121,sleeping in the bed,0,None,"5,0,0"
2122,Adam don't put that back there,1,don't,"0,1,3,0,0,0"
2123,take your wrench out,1,take,"1,0,0,0"
2124,wrench,0,None,0
2125,didn't Daddy say don't play back there,2,didn't,"2,0,3,1,3,0,0"
2126,don't play back there,1,don't,"1,3,0,0"
2127,sit here on the side if you wanna,1,sit,"1,0,0,0,0,0,0,1"
2128,no down there,0,None,"0,0,0"
2129,what's the matter,1,s,"4,0,0"
2130,where are your pliers,1,are,"0,1,0,0"
2131,you're sitting on the cord,1,re,"4,5,0,0,0"
2132,why do you wanna play over there,1,do,"0,1,0,3,3,0,0"
2133,what do you have,1,do,"0,1,0,3"
2134,well get down and get it,1,get,"0,1,0,0,1,0"
2135,and get it,1,get,"0,1,0"
2136,what,0,None,0
2137,yes Daddy said don't go back there didn't he,2,said,"0,0,2,1,3,0,0,2,0"
2138,don't go back there didn't he,1,don't,"1,3,0,0,2,0"
2139,didn't he,2,didn't,"2,0"
2140,yes but it's alright if you drop something,1,s,"0,0,4,0,0,0,1,0"
