,Sentence,Tense,Verb,NER Tag,encode_sent,POS,TAG
526,what are they doing,1,are,"0,1,0,5","0, 312, 385, 412, 593, 2","['PRON', 'AUX', 'PRON', 'VERB']","['WP', 'VBP', 'PRP', 'VBG']"
527,do you know,1,do,"1,0,3","0, 410, 273, 378, 2","['AUX', 'PRON', 'VERB']","['VBP', 'PRP', 'VB']"
528,men,0,None,0,"0, 3433, 2",['NOUN'],['NNS']
529,what that is,1,is,"0,0,1","0, 312, 296, 328, 2","['PRON', 'DET', 'AUX']","['WP', 'DT', 'VBZ']"
530,you don't know,1,don't,"0,1,0,3","0, 266, 358, 309, 378, 2","['PRON', 'AUX', 'PART', 'VERB']","['PRP', 'VBP', 'RB', 'VB']"
531,that's the mail car,1,s,"0,4,0,0,0","0, 363, 279, 272, 2206, 572, 2","['DET', 'AUX', 'DET', 'NOUN', 'NOUN']","['DT', 'VBZ', 'DT', 'NN', 'NN']"
532,stop car,0,None,"0,0","0, 1600, 572, 2","['VERB', 'NOUN']","['VB', 'NN']"
533,what is that,1,is,"0,1,0","0, 312, 328, 296, 2","['PRON', 'AUX', 'DET']","['WP', 'VBZ', 'DT']"
534,there's a truck,1,s,"0,4,0,0","0, 461, 279, 265, 971, 2","['PRON', 'AUX', 'DET', 'NOUN']","['EX', 'VBZ', 'DT', 'NN']"
535,that looks like that,1,looks,"0,1,0,0","0, 363, 651, 349, 296, 2","['DET', 'VERB', 'SCONJ', 'DET']","['DT', 'VBZ', 'IN', 'DT']"
536,tank car,0,None,"0,0","0, 19813, 572, 2","['NOUN', 'NOUN']","['NN', 'NN']"
537,and the last car on a train is called the what,1,is,"0,0,0,0,0,0,0,1,8,0,0","0, 347, 272, 988, 572, 307, 265, 1506, 328, 849, 272, 339, 2","['CCONJ', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'AUX', 'VERB', 'DET', 'PRON']","['CC', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'VBZ', 'VBN', 'DT', 'WP']"
538,it's called the caboose,1,s,"0,4,8,0,0","0, 274, 279, 849, 272, 8334, 2","['PRON', 'AUX', 'VERB', 'DET', 'NOUN']","['PRP', 'VBZ', 'VBN', 'DT', 'NN']"
539,caboose,0,None,0,"0, 27162, 2",['NOUN'],['NN']
540,what is that,1,is,"0,1,0","0, 312, 328, 296, 2","['PRON', 'AUX', 'DET']","['WP', 'VBZ', 'DT']"
541,it looks like a derrick,1,looks,"0,1,0,0,0","0, 274, 651, 349, 265, 15327, 2","['PRON', 'VERB', 'SCONJ', 'DET', 'NOUN']","['PRP', 'VBZ', 'IN', 'DT', 'NN']"
542,but it's a crane,1,s,"0,0,4,0,0","0, 545, 290, 279, 265, 7501, 2","['CCONJ', 'PRON', 'AUX', 'DET', 'NOUN']","['CC', 'PRP', 'VBZ', 'DT', 'NN']"
543,it's one of the tools,1,s,"0,4,0,0,0,0","0, 274, 279, 383, 340, 272, 3297, 2","['PRON', 'AUX', 'NUM', 'ADP', 'DET', 'NOUN']","['PRP', 'VBZ', 'CD', 'IN', 'DT', 'NNS']"
544,that they work with,1,work,"0,0,1,0","0, 363, 412, 855, 392, 2","['SCONJ', 'PRON', 'VERB', 'ADP']","['IN', 'PRP', 'VBP', 'IN']"
545,that's an old time train,1,s,"0,4,0,0,0,0","0, 363, 279, 413, 989, 627, 1506, 2","['DET', 'AUX', 'DET', 'ADJ', 'NOUN', 'NOUN']","['DT', 'VBZ', 'DT', 'JJ', 'NN', 'NN']"
546,yes that does look like a broom doesn't it,1,does,"0,0,1,3,0,0,0,1,0,0","0, 506, 296, 462, 415, 349, 265, 3367, 644, 309, 290, 2","['INTJ', 'DET', 'AUX', 'VERB', 'SCONJ', 'DET', 'NOUN', 'AUX', 'PART', 'PRON']","['UH', 'DT', 'VBZ', 'VB', 'IN', 'DT', 'NN', 'VBZ', 'RB', 'PRP']"
547,where are you going,1,are,"0,1,0,5","0, 442, 385, 273, 497, 2","['ADV', 'AUX', 'PRON', 'VERB']","['WRB', 'VBP', 'PRP', 'VBG']"
548,whose is this,1,is,"0,1,0","0, 2301, 328, 346, 2","['DET', 'AUX', 'DET']","['WP$', 'VBZ', 'DT']"
549,what are you doing,1,are,"0,1,0,5","0, 312, 385, 273, 593, 2","['PRON', 'AUX', 'PRON', 'VERB']","['WP', 'VBP', 'PRP', 'VBG']"
550,fix bike,1,fix,"1,0","0, 4598, 2126, 2","['PROPN', 'PROPN']","['NNP', 'NNP']"
551,take what,1,take,"1,0","0, 1363, 339, 2","['VERB', 'PRON']","['VB', 'WP']"
552,do what,1,does,"1,0","0, 410, 339, 2","['AUX', 'PRON']","['VB', 'WP']"
553,paper,0,None,0,"0, 5327, 2",['NOUN'],['NN']
554,isn't that pretty,1,isn't,"1,0,0,0","0, 1670, 309, 296, 748, 2","['AUX', 'PART', 'DET', 'ADJ']","['VBZ', 'RB', 'DT', 'JJ']"
555,d a m,0,None,"0,0,0","0, 72, 265, 287, 2","['PROPN', 'DET', 'NOUN']","['NNP', 'DT', 'NN']"
556,he always leaves the a off,1,leaves,"0,0,1,0,0,0","0, 262, 1179, 2704, 272, 265, 581, 2","['PRON', 'ADV', 'VERB', 'DET', 'NOUN', 'NOUN']","['PRP', 'RB', 'VBZ', 'DT', 'NN', 'NN']"
557,when he's spelling,1,s,"0,0,4,5","0, 952, 301, 279, 5622, 2","['ADV', 'PRON', 'AUX', 'VERB']","['WRB', 'PRP', 'VBZ', 'VBG']"
558,did you write it already,2,did,"2,0,3,0,0","0, 546, 273, 1330, 290, 1396, 2","['AUX', 'PRON', 'VERB', 'PRON', 'ADV']","['VBD', 'PRP', 'VB', 'PRP', 'RB']"
559,careful don't hit Ursula's feet with the tow truck,1,don't,"0,1,0,3,0,0,0,0,0,0,0","0, 2041, 358, 309, 1467, 4436, 279, 1035, 392, 272, 5604, 971, 2","['ADJ', 'AUX', 'PART', 'VERB', 'PROPN', 'PART', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN']","['JJ', 'VBP', 'RB', 'VB', 'NNP', 'POS', 'NNS', 'IN', 'DT', 'NN', 'NN']"
560,what happened,2,happened,"0,2","0, 312, 917, 2","['PRON', 'VERB']","['WP', 'VBD']"
561,you hit your knee,2,hit,"0,2,0,0","0, 266, 1467, 345, 3659, 2","['PRON', 'VERB', 'DET', 'NOUN']","['PRP', 'VBP', 'PRP$', 'NN']"
562,the tow truck hit your knee,2,hit,"0,0,0,2,0,0","0, 321, 5604, 971, 1467, 345, 3659, 2","['DET', 'NOUN', 'NOUN', 'VERB', 'DET', 'NOUN']","['DT', 'NN', 'NN', 'VBD', 'PRP$', 'NN']"
563,locomotive,0,None,"0,0","0, 3295, 11506, 2",['ADJ'],['JJ']
564,that's a flat car,1,s,"0,4,0,0,0","0, 363, 279, 265, 3395, 572, 2","['DET', 'AUX', 'DET', 'ADJ', 'NOUN']","['DT', 'VBZ', 'DT', 'JJ', 'NN']"
565,yes that is Donald Duck,1,is,"0,0,1,0,0","0, 506, 296, 328, 3697, 5053, 2","['INTJ', 'DET', 'AUX', 'PROPN', 'PROPN']","['UH', 'DT', 'VBZ', 'NNP', 'NNP']"
566,Pinnochio,0,None,0,"0, 19696, 2",['PROPN'],['NNP']
567,no,0,None,0,"0, 286, 2",['INTJ'],['UH']
568,that's not Pinnochio,1,s,"0,4,0,0","0, 363, 279, 419, 25424, 2","['DET', 'AUX', 'PART', 'PROPN']","['DT', 'VBZ', 'RB', 'NNP']"
569,those are chipmunks and Mickey Mouse,1,are,"0,1,0,0,0,0","0, 1144, 385, 12236, 329, 2952, 4684, 2","['DET', 'AUX', 'NOUN', 'CCONJ', 'PROPN', 'PROPN']","['DT', 'VBP', 'NNS', 'CC', 'NNP', 'NNP']"
570,put your pajamas on,1,put,"1,0,0,0","0, 676, 345, 3105, 307, 2","['VERB', 'DET', 'NOUN', 'ADP']","['VB', 'PRP$', 'NNS', 'IN']"
571,put pajamas on,1,put,"1,0,0","0, 676, 3105, 307, 2","['VERB', 'NOUN', 'ADP']","['VB', 'NNS', 'IN']"
572,and we can ride the car,1,can,"0,0,7,3,0,0","0, 347, 331, 377, 1446, 272, 572, 2","['CCONJ', 'PRON', 'VERB', 'VERB', 'DET', 'NOUN']","['CC', 'PRP', 'MD', 'VB', 'DT', 'NN']"
573,he had his bath before supper and he put his pajamas on and he this last night,2,had,"0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0","0, 262, 630, 505, 1150, 1000, 1920, 329, 301, 416, 505, 3105, 307, 329, 301, 346, 988, 905, 2","['PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'CCONJ', 'PRON', 'DET', 'ADJ', 'NOUN']","['PRP', 'VBD', 'PRP$', 'NN', 'IN', 'NN', 'CC', 'PRP', 'VBD', 'PRP$', 'NNS', 'RP', 'CC', 'PRP', 'DT', 'JJ', 'NN']"
574,and he put his pajamas on and he this last night,2,put,"0,0,2,0,0,0,0,0,0,0,0","0, 347, 301, 416, 505, 3105, 307, 329, 301, 346, 988, 905, 2","['CCONJ', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'CCONJ', 'PRON', 'DET', 'ADJ', 'NOUN']","['CC', 'PRP', 'VBD', 'PRP$', 'NNS', 'RP', 'CC', 'PRP', 'DT', 'JJ', 'NN']"
575,Daddy's racket,0,None,"0,0,0","0, 1494, 279, 10740, 2","['NOUN', 'PART', 'NOUN']","['NN', 'POS', 'NN']"
576,you can't play with Daddy's,1,can't,"0,7,0,3,0,0,0","0, 266, 377, 309, 465, 392, 825, 279, 2","['PRON', 'VERB', 'PART', 'VERB', 'ADP', 'NOUN', 'PART']","['PRP', 'MD', 'RB', 'VB', 'IN', 'NN', 'POS']"
577,yes this Daddy's,0,None,"0,0,0,0","0, 506, 346, 825, 279, 2","['INTJ', 'DET', 'NOUN', 'PART']","['UH', 'DT', 'NN', 'POS']"
578,where did your racket go,2,did,"0,2,0,0,3","0, 442, 407, 345, 10740, 316, 2","['ADV', 'AUX', 'DET', 'NOUN', 'VERB']","['WRB', 'VBD', 'PRP$', 'NN', 'VB']"
579,yes Daddy's racket,0,None,"0,0,0,0","0, 506, 825, 279, 10740, 2","['INTJ', 'PROPN', 'PART', 'NOUN']","['UH', 'NNP', 'POS', 'NN']"
580,whose brief case is this,1,is,"0,0,0,1,0","0, 2301, 7681, 3920, 328, 346, 2","['DET', 'ADJ', 'NOUN', 'AUX', 'DET']","['WP$', 'JJ', 'NN', 'VBZ', 'DT']"
581,get off her briefcase honey,1,get,"1,0,0,0,0","0, 657, 581, 470, 9039, 925, 2","['AUX', 'ADP', 'DET', 'NOUN', 'NOUN']","['VB', 'RP', 'PRP$', 'NN', 'NN']"
582,yes u p up,0,None,"0,0,0,0","0, 506, 335, 288, 403, 2","['INTJ', 'PROPN', 'NOUN', 'ADP']","['UH', 'NNP', 'NN', 'RP']"
583,get up,1,get,"1,0","0, 657, 403, 2","['AUX', 'ADP']","['VB', 'RP']"
584,up,0,None,0,"0, 607, 2",['ADP'],['IN']
585,up,0,None,0,"0, 607, 2",['ADP'],['IN']
586,come on,1,come,"1,0","0, 528, 307, 2","['VERB', 'ADP']","['VB', 'RP']"
587,no you can't sit on his either,1,can't,"0,0,7,0,3,0,0,0","0, 286, 273, 377, 309, 726, 307, 505, 1539, 2","['INTJ', 'PRON', 'VERB', 'PART', 'VERB', 'ADP', 'DET', 'DET']","['UH', 'PRP', 'MD', 'RB', 'VB', 'IN', 'PRP$', 'DT']"
588,you had it all squashed down,2,had,"0,2,0,0,8,0","0, 266, 630, 290, 432, 13338, 483, 2","['PRON', 'AUX', 'PRON', 'DET', 'VERB', 'ADP']","['PRP', 'VBD', 'PRP', 'DT', 'VBN', 'RP']"
589,where's your foot,1,s,"0,4,0,0","0, 442, 279, 345, 986, 2","['ADV', 'AUX', 'DET', 'NOUN']","['WRB', 'VBZ', 'PRP$', 'NN']"
590,where's the other one,1,s,"0,4,0,0,0","0, 442, 279, 272, 617, 383, 2","['ADV', 'AUX', 'DET', 'ADJ', 'NOUN']","['WRB', 'VBZ', 'DT', 'JJ', 'NN']"
591,oh did you find it,2,did,"0,2,0,3,0","0, 332, 407, 273, 804, 290, 2","['INTJ', 'AUX', 'PRON', 'VERB', 'PRON']","['UH', 'VBD', 'PRP', 'VB', 'PRP']"
592,how many do you have now,1,do,"0,0,1,0,3,0","0, 467, 907, 299, 273, 381, 508, 2","['ADV', 'ADJ', 'AUX', 'PRON', 'AUX', 'ADV']","['WRB', 'JJ', 'VBP', 'PRP', 'VB', 'RB']"
593,two feet,0,None,"0,0","0, 1201, 1035, 2","['NUM', 'NOUN']","['CD', 'NNS']"
594,how many does Mr Cromer have,1,does,"0,0,1,0,0,3","0, 467, 907, 462, 2695, 4552, 381, 2","['ADV', 'ADJ', 'AUX', 'PROPN', 'PROPN', 'AUX']","['WRB', 'JJ', 'VBZ', 'NNP', 'NNP', 'VB']"
595,oh that's the knee,1,s,"0,0,4,0,0","0, 332, 296, 279, 272, 3659, 2","['INTJ', 'DET', 'AUX', 'DET', 'NOUN']","['UH', 'DT', 'VBZ', 'DT', 'NN']"
596,do you have elbow,1,have,"1,0,3,0","0, 410, 273, 381, 5136, 2","['AUX', 'PRON', 'AUX', 'VERB']","['VBP', 'PRP', 'VB', 'VB']"
597,what's an elbow,1,s,"0,4,0,0","0, 312, 279, 413, 5136, 2","['PRON', 'AUX', 'DET', 'NOUN']","['WP', 'VBZ', 'DT', 'NN']"
598,oh it's right on your arm,1,s,"0,0,4,0,0,0,0","0, 332, 290, 279, 434, 307, 345, 1868, 2","['INTJ', 'PRON', 'AUX', 'ADJ', 'ADP', 'DET', 'NOUN']","['UH', 'PRP', 'VBZ', 'JJ', 'IN', 'PRP$', 'NN']"
599,it's all squashed,1,s,"0,4,0,8","0, 274, 279, 432, 13338, 2","['PRON', 'AUX', 'DET', 'VERB']","['PRP', 'VBZ', 'DT', 'VBN']"
600,all squashed,0,None,"0,0","0, 365, 13338, 2","['DET', 'VERB']","['DT', 'VBN']"
601,you're stepping on her feet,1,re,"0,4,5,0,0,0","0, 266, 375, 7802, 307, 470, 1035, 2","['PRON', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN']","['PRP', 'VBP', 'VBG', 'IN', 'PRP$', 'NNS']"
602,where are you sitting,1,are,"0,1,0,5","0, 442, 385, 273, 1609, 2","['ADV', 'AUX', 'PRON', 'VERB']","['WRB', 'VBP', 'PRP', 'VBG']"
603,where,0,None,0,"0, 442, 2",['ADV'],['WRB']
604,Joshua's chair or did you say Joshua's shirt,2,did,"0,0,0,0,2,0,3,0,0,0","0, 14070, 279, 910, 501, 407, 273, 460, 14656, 279, 1476, 2","['PROPN', 'PART', 'NOUN', 'CCONJ', 'AUX', 'PRON', 'VERB', 'PROPN', 'PART', 'NOUN']","['NNP', 'POS', 'NN', 'CC', 'VBD', 'PRP', 'VB', 'NNP', 'POS', 'NN']"
605,foot,0,None,0,"0, 4263, 2",['NOUN'],['NN']
606,you're picking the dirt up with your bulldozer,1,re,"0,4,5,0,0,0,0,0,0","0, 266, 375, 3063, 272, 3200, 403, 392, 345, 6279, 2","['PRON', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'ADP', 'DET', 'NOUN']","['PRP', 'VBP', 'VBG', 'DT', 'NN', 'RP', 'IN', 'PRP$', 'NN']"
607,the big tow truck's picking Joshua's dirt up,1,s,"0,0,0,0,4,5,0,0,0,0","0, 321, 535, 5604, 971, 279, 3063, 14656, 279, 3200, 403, 2","['DET', 'ADJ', 'NOUN', 'NOUN', 'PART', 'VERB', 'PROPN', 'PART', 'NOUN', 'ADP']","['DT', 'JJ', 'NN', 'NN', 'POS', 'VBG', 'NNP', 'POS', 'NN', 'RP']"
608,write that,0,None,"0,0","0, 4382, 296, 2","['VERB', 'DET']","['VB', 'DT']"
609,the tractor can't write,1,can't,"0,0,7,0,3","0, 321, 2905, 377, 309, 1330, 2","['DET', 'NOUN', 'VERB', 'PART', 'VERB']","['DT', 'NN', 'MD', 'RB', 'VB']"
610,the racket can't write either,1,can't,"0,0,7,0,3,0","0, 321, 10740, 377, 309, 1330, 1539, 2","['DET', 'NOUN', 'VERB', 'PART', 'VERB', 'ADV']","['DT', 'NN', 'MD', 'RB', 'VB', 'RB']"
611,Adam is sitting down,1,is,"0,1,5,0","0, 2637, 328, 1609, 483, 2","['PROPN', 'AUX', 'VERB', 'ADP']","['NNP', 'VBZ', 'VBG', 'RP']"
612,pick the dirt up,1,pick,"1,0,0,0","0, 2251, 272, 3200, 403, 2","['VERB', 'DET', 'NOUN', 'ADP']","['VB', 'DT', 'NN', 'RP']"
613,pick the roadgrader up,1,pick,"1,0,0,0","0, 2251, 272, 20700, 403, 2","['VERB', 'DET', 'NOUN', 'ADP']","['VB', 'DT', 'NN', 'RP']"
614,no you don't have a nail in there,1,don't,"0,0,1,0,3,0,0,0,0","0, 286, 273, 358, 309, 381, 265, 4672, 318, 386, 2","['INTJ', 'PRON', 'AUX', 'PART', 'AUX', 'DET', 'NOUN', 'ADV', 'ADV']","['UH', 'PRP', 'VBP', 'RB', 'VB', 'DT', 'NN', 'RB', 'RB']"
615,you just can't pick it up that way,1,can't,"0,0,7,0,3,0,0,0,0","0, 266, 458, 377, 309, 895, 290, 403, 296, 656, 2","['PRON', 'ADV', 'VERB', 'PART', 'VERB', 'PRON', 'ADP', 'DET', 'NOUN']","['PRP', 'RB', 'MD', 'RB', 'VB', 'PRP', 'RP', 'DT', 'NN']"
616,he's just sharp,1,s,"0,4,0,0","0, 262, 279, 458, 3194, 2","['PRON', 'AUX', 'ADV', 'ADJ']","['PRP', 'VBZ', 'RB', 'JJ']"
617,Robie's nail,0,None,"0,0,0,0","0, 6377, 390, 279, 4672, 2","['PROPN', 'PART', 'NOUN']","['NNP', 'POS', 'NN']"
618,pick the glove up,1,pick,"1,0,0,0","0, 2251, 272, 7293, 403, 2","['VERB', 'DET', 'NOUN', 'ADP']","['VB', 'DT', 'NN', 'RP']"
619,pick the paper up,1,pick,"1,0,0,0","0, 2251, 272, 1243, 403, 2","['VERB', 'DET', 'NOUN', 'ADP']","['VB', 'DT', 'NN', 'RP']"
620,rug,0,None,0,"0, 14775, 2",['X'],['FW']
621,oh you can see the rug now,1,can,"0,0,7,3,0,0,0","0, 332, 273, 377, 384, 272, 3125, 508, 2","['INTJ', 'PRON', 'VERB', 'VERB', 'DET', 'NOUN', 'ADV']","['UH', 'PRP', 'MD', 'VB', 'DT', 'NN', 'RB']"
622,what color is the rug,1,is,"0,0,1,0,0","0, 312, 729, 328, 272, 3125, 2","['DET', 'NOUN', 'AUX', 'DET', 'NOUN']","['WDT', 'NN', 'VBZ', 'DT', 'NN']"
623,what,0,None,0,"0, 312, 2",['PRON'],['WP']
624,what color,0,None,"0,0","0, 312, 729, 2","['DET', 'NOUN']","['WDT', 'NN']"
625,what color is in the rug,1,is,"0,0,1,0,0,0","0, 312, 729, 328, 318, 272, 3125, 2","['DET', 'NOUN', 'AUX', 'ADP', 'DET', 'NOUN']","['WDT', 'NN', 'VBZ', 'IN', 'DT', 'NN']"
626,is it the same over there,1,is,"1,0,0,0,0,0","0, 281, 290, 272, 1206, 521, 386, 2","['AUX', 'PRON', 'DET', 'ADJ', 'ADV', 'ADV']","['VBZ', 'PRP', 'DT', 'JJ', 'RB', 'RB']"
627,green,0,None,0,"0, 2464, 2",['PROPN'],['NNP']
628,green,0,None,0,"0, 2464, 2",['PROPN'],['NNP']
629,is it the same color everywhere,1,is,"1,0,0,0,0,0","0, 281, 290, 272, 1206, 729, 3275, 2","['AUX', 'PRON', 'DET', 'ADJ', 'NOUN', 'ADV']","['VBZ', 'PRP', 'DT', 'JJ', 'NN', 'RB']"
630,what other color is in it,1,is,"0,0,0,1,0,0","0, 312, 617, 729, 328, 318, 290, 2","['DET', 'ADJ', 'NOUN', 'AUX', 'ADP', 'PRON']","['WDT', 'JJ', 'NN', 'VBZ', 'IN', 'PRP']"
631,green and what,0,None,"0,0,0","0, 2464, 329, 339, 2","['ADJ', 'CCONJ', 'PRON']","['JJ', 'CC', 'WP']"
632,well what did you hit,2,did,"0,0,2,0,3","0, 492, 339, 407, 273, 1467, 2","['INTJ', 'PRON', 'AUX', 'PRON', 'VERB']","['UH', 'WP', 'VBD', 'PRP', 'VB']"
633,you hit your shoulder,2,hit,"0,2,0,0","0, 266, 1467, 345, 5140, 2","['PRON', 'VERB', 'DET', 'NOUN']","['PRP', 'VBP', 'PRP$', 'NN']"
634,on the table,0,None,"0,0,0","0, 275, 272, 1018, 2","['ADP', 'DET', 'NOUN']","['IN', 'DT', 'NN']"
635,mosquito,0,None,0,"0, 14762, 2",['PROPN'],['NNP']
636,you don't have a mosquito bite back there,1,don't,"0,1,0,3,0,0,0,0,0","0, 266, 358, 309, 381, 265, 7139, 1236, 511, 386, 2","['PRON', 'AUX', 'PART', 'AUX', 'DET', 'ADJ', 'NOUN', 'ADV', 'ADV']","['PRP', 'VBP', 'RB', 'VB', 'DT', 'JJ', 'NN', 'RB', 'RB']"
637,don't hit your head on the bicycle,1,don't,"1,0,3,0,0,0,0,0","0, 629, 309, 1467, 345, 870, 307, 272, 4020, 2","['AUX', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']","['VB', 'RB', 'VB', 'PRP$', 'NN', 'IN', 'DT', 'NN']"
638,yes that is a man,1,is,"0,0,1,0,0","0, 506, 296, 328, 265, 686, 2","['INTJ', 'DET', 'AUX', 'DET', 'NOUN']","['UH', 'DT', 'VBZ', 'DT', 'NN']"
639,do you know the man's name,1,don't,"1,0,3,0,0,0,0","0, 410, 273, 378, 272, 686, 279, 766, 2","['AUX', 'PRON', 'VERB', 'DET', 'NOUN', 'PART', 'NOUN']","['VBP', 'PRP', 'VB', 'DT', 'NN', 'POS', 'NN']"
640,yes what's the man's name driving the busy bulldozer,1,s,"0,0,4,0,0,0,0,5,0,0,0","0, 506, 339, 279, 272, 686, 279, 766, 2581, 272, 2555, 6279, 2","['INTJ', 'PRON', 'AUX', 'DET', 'NOUN', 'PART', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN']","['UH', 'WP', 'VBZ', 'DT', 'NN', 'POS', 'NN', 'VBG', 'DT', 'JJ', 'NN']"
641,yes he's pushing the dirt up,1,s,"0,0,4,5,0,0,0","0, 506, 301, 279, 3689, 272, 3200, 403, 2","['INTJ', 'PRON', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP']","['UH', 'PRP', 'VBZ', 'VBG', 'DT', 'NN', 'RP']"
642,what's the man's name,1,s,"0,4,0,0,0,0","0, 312, 279, 272, 686, 279, 766, 2","['PRON', 'AUX', 'DET', 'NOUN', 'PART', 'NOUN']","['WP', 'VBZ', 'DT', 'NN', 'POS', 'NN']"
643,this is the man,1,is,"0,1,0,0","0, 562, 328, 272, 686, 2","['DET', 'AUX', 'DET', 'NOUN']","['DT', 'VBZ', 'DT', 'NN']"
644,man who drives the busy bulldozer,1,drives,"0,0,1,0,0,0","0, 1135, 592, 4649, 272, 2555, 6279, 2","['NOUN', 'PRON', 'VERB', 'DET', 'ADJ', 'NOUN']","['NN', 'WP', 'VBZ', 'DT', 'JJ', 'NN']"
645,what is his name,1,is,"0,1,0,0","0, 312, 328, 505, 766, 2","['PRON', 'AUX', 'DET', 'NOUN']","['WP', 'VBZ', 'PRP$', 'NN']"
646,what's his name,1,is,"0,4,0,0","0, 312, 279, 505, 766, 2","['PRON', 'AUX', 'DET', 'NOUN']","['WP', 'VBZ', 'PRP$', 'NN']"
647,where did what go,2,did,"0,2,0,3","0, 442, 407, 339, 316, 2","['ADV', 'AUX', 'PRON', 'VERB']","['WRB', 'VBD', 'WP', 'VB']"
648,you tell me,1,tell,"0,1,0","0, 266, 621, 376, 2","['PRON', 'VERB', 'PRON']","['PRP', 'VBP', 'PRP']"
649,what's happening,1,s,"0,4,5","0, 312, 279, 2856, 2","['PRON', 'AUX', 'VERB']","['WP', 'VBZ', 'VBG']"
650,until he met how many men,2,met,"0,0,2,0,0,0","0, 6509, 301, 2912, 561, 907, 2466, 2","['ADP', 'PRON', 'VERB', 'ADV', 'ADJ', 'NOUN']","['IN', 'PRP', 'VBD', 'WRB', 'JJ', 'NNS']"
651,three men,0,None,"0,0","0, 1740, 2466, 2","['NUM', 'NOUN']","['CD', 'NNS']"
652,that's one of the men,1,s,"0,4,0,0,0,0","0, 363, 279, 383, 340, 272, 2466, 2","['DET', 'AUX', 'NUM', 'ADP', 'DET', 'NOUN']","['DT', 'VBZ', 'CD', 'IN', 'DT', 'NNS']"
653,come on pal,1,come,"1,0,0","0, 528, 307, 4807, 2","['VERB', 'ADP', 'PROPN']","['VB', 'IN', 'NNP']"
654,let's go,1,let's,"1,0,0","0, 489, 279, 316, 2","['VERB', 'PRON', 'VERB']","['VB', 'PRP', 'VB']"
655,no don't push Mommy's book,1,don't,"0,1,0,3,0,0,0","0, 286, 358, 309, 1270, 688, 279, 523, 2","['INTJ', 'AUX', 'PART', 'VERB', 'PROPN', 'PART', 'NOUN']","['UH', 'VBP', 'RB', 'VB', 'NNP', 'POS', 'NN']"
656,no it isn't yours,1,isn't,"0,0,1,0,0","0, 286, 290, 918, 309, 1511, 2","['INTJ', 'PRON', 'AUX', 'PART', 'DET']","['UH', 'PRP', 'VBZ', 'RB', 'PRP$']"
657,your books are over in your basket,1,are,"0,0,1,0,0,0,0","0, 1009, 1049, 385, 521, 318, 345, 1859, 2","['DET', 'NOUN', 'AUX', 'ADV', 'ADP', 'DET', 'NOUN']","['PRP$', 'NNS', 'VBP', 'RB', 'IN', 'PRP$', 'NN']"
658,is that Doctor Dan,1,isn't,"1,0,0,0","0, 281, 296, 4160, 3525, 2","['AUX', 'SCONJ', 'PROPN', 'PROPN']","['VBZ', 'IN', 'NNP', 'NNP']"
659,is it,1,isn't,"1,0","0, 281, 290, 2","['AUX', 'PRON']","['VBZ', 'PRP']"
660,I didn't think it was,2,didn't,"0,2,0,3,0,2","0, 45, 611, 309, 399, 290, 405, 2","['PRON', 'AUX', 'PART', 'VERB', 'PRON', 'AUX']","['PRP', 'VBD', 'RB', 'VB', 'PRP', 'VBD']"
661,why do you call that spaghetti,1,do,"0,1,0,3,0,0","0, 601, 299, 273, 661, 296, 1611, 2","['ADV', 'AUX', 'PRON', 'VERB', 'DET', 'NOUN']","['WRB', 'VBP', 'PRP', 'VB', 'DT', 'NNS']"
662,or is that what,1,is,"0,1,0,0","0, 313, 328, 296, 339, 2","['CCONJ', 'AUX', 'DET', 'PRON']","['CC', 'VBZ', 'DT', 'WP']"
663,you're saying,1,re,"0,4,5","0, 266, 375, 1498, 2","['PRON', 'AUX', 'VERB']","['PRP', 'VBP', 'VBG']"
664,Daddy,0,None,0,"0, 1494, 2",['NOUN'],['NN']
665,what about Daddy,0,None,"0,0,0","0, 312, 482, 825, 2","['PRON', 'ADP', 'NOUN']","['WP', 'IN', 'NN']"
666,no that's Mr Cromer's suitcase,1,s,"0,0,4,0,0,0,0","0, 286, 296, 279, 2695, 4552, 279, 4678, 2","['INTJ', 'DET', 'AUX', 'PROPN', 'PROPN', 'PART', 'NOUN']","['UH', 'DT', 'VBZ', 'NNP', 'NNP', 'POS', 'NN']"
667,whose suitcase is that,1,is,"0,0,1,0","0, 2301, 4678, 328, 296, 2","['DET', 'NOUN', 'AUX', 'DET']","['WP$', 'NN', 'VBZ', 'DT']"
668,no whose suitcase is that,1,is,"0,0,0,1,0","0, 286, 4002, 4678, 328, 296, 2","['DET', 'DET', 'NOUN', 'AUX', 'DET']","['DT', 'WP$', 'NN', 'VBZ', 'DT']"
