Number,Chinese,Croatian,Czech,Danish,Dutch,English,Estonian,Finnish,French,German,Hungarian,Italian,Japanese,Norwegian,Polish,Portuguese,Romanian,Spanish,Swedish,Turkish,Welsh (masculine),Welsh (feminine),Scottish Gaelic (Traditional),Scottish Gaelic (Modern)
81,bashiyi,osamdeset jedan,osmdesátjedna,énogfirs,eenentachtig,eighty-one,kaheksakümmend üks,kahdeksankymmentäyksi,quatre-vingt-un,einundachtzig,nyolcvanegy,ottantuno,hachijuuichi,åttien,osiemdziesiatjeden,oitentae um,optzecisiunu,ochentay uno,åttioen,seksen bir,wyth deg un,wyth deg un,ceithir fichead 's a h-aon,ochdad 's a h-aon
82,bashier,osamdeset dva,osmdesátdva,toogfirs,tweeëntachtig,eighty-two,kaheksakümmend kaks,kahdeksankymmentäkaksi,quatre-vingt-deux,zweiundachtzig,nyolcvankettö,ottantadue,hachijuuni,åttito,osiemdziesiatdwa,oitentae dois,optzecisidoi,ochentay dos,åttiotvå,seksen iki,wyth deg dau,wyth deg dwy,ceithir fichead 's a dhà,ochdad 's a dhà
83,bashisan,osamdeset tri,osmdesáttri,treogfirs,drieëntachtig,eighty-three,kaheksakümmend kolm,kahdeksankymmentäkolme,quatre-vingt-trois,dreiundachtzig,nyolcvanhárom,ottantatre,hachijuusan,åttitre,osiemdziesiattrzy,oitentae três,optzecisitrei,ochentay tres,åttiotre,seksen üç,wyth deg tri,wyth deg tair,ceithir fichead 's a trì,ochdad 's a trì
84,bashisi,osamdeset četiri,osmdesátchtyri,fireogfirs,vierentachtig,eighty-four,kaheksakümmend neli,kahdeksankymmentäneljä,quatre-vingt-quatre,vierundachtzig,nyolcvannégy,ottantaquattro,hachijuushi,åttifire,osiemdziesiatcztery,oitentae quatro,optzecisipatru,ochentay cuatro,åttiofyra,seksen dört,wyth deg pedwar,wyth deg pedair,ceithir fichead 's a ceithir,ochdad 's a ceithir
85,bashiwu,osamdeset pet,osmdesátpet,femogfirs,vijfentachtig,eighty-five,kaheksakümmend viis,kahdeksankymmentäviisi,quatre-vingt-cinq,fünfundachtzig,nyolcvanöt,ottantacinque,hachijuugo,åttifem,osiemdziesiatpiec,oitentae cinco,optzecisicinci,ochentay cinco,åttiofem,seksen bes,wyth deg pump,wyth deg pump,ceithir fichead 's a còig,ochdad 's a còig
86,bashiliu,osamdeset šest,osmdesátshest,seksogfirs,zesentachtig,eighty-six,kaheksakümmend kuus,kahdeksankymmentäkuusi,quatre-vingt-six,sechsundachtzig,nyolcvanhat,ottantasei,hachijuuroku,åttiseks,osiemdziesiatszesc,oitentae seis,optzecisisase,ochentay seis,åttiosex,seksen alti,wyth deg chwech,wyth deg chwech,ceithir fichead 's a sia,ochdad 's a sia
87,bashiqi,osamdeset sedam,osmdesátsedm,syvogfirs,zevenentachtig,eighty-seven,kaheksakümmend seitse,kahdeksankymmentäseitsemän,quatre-vingt-sept,siebenundachtzig,nyolcvanhét,ottantasette,hachijuushichi,åttisyv,osiemdziesiatsiedem,oitentae sete,optzecisisapte,ochentay siete,åttiosju,seksen yedi,wyth deg saith,wyth deg saith,ceithir fichead 's a seachd,ochdad 's a seachd
88,bashiba,osamdeset osam,osmdesátosm,otteogfirs,achtentachtig,eighty-eight,kaheksakümmend kaheksa,kahdeksankymmentäkahdeksan,quatre-vingt-huit,achtundachtzig,nyolcvannyolc,ottantotto,hachijuuhachi,åttiåtte,osiemdziesiatosiem,oitentae oito,optzecisiopt,ochentay ocho,åttioåtta,seksen sekiz,wyth deg wyth,wyth deg wyth,ceithir fichead 's a ochd,ochdad 's a ochd
89,bashijiu,osamdeset devet,osmdesátdevet,niogfirs,negenentachtig,eighty-nine,kaheksakümmend üheksa,kahdeksankymmentäyhdeksän,quatre-vingt-neuf,neunundachtzig,nyolcvankilenc,ottantanove,hachijuuku,åttini,osiemdziesiatdziewiec,oitentae nove,optzecisinoua,ochentay nueve,åttionio,seksen dokuz,wyth deg naw,wyth deg naw,ceithir fichead 's a naoi,ochdad 's a naoi
90,jiushi,devedeset,devádesát,halvfems,negentig,ninety,üheksakümmend,yhdeksänkymmentä,quatre-vingt-dix,neunzig,kilencven,novanta,kyuujuu,nitti,dziewiecdziesiat,noventa,nouazeci,noventa,nittio,doksan,naw deg,naw deg,ceithir fichead ’s a deich,naochad
91,jiushiyi,devedeset jedan,devádesátjedna,énoghalvfems,eenennegentig,ninety-one,üheksakümmend üks,yhdeksänkymmentäyksi,quatre-vingt-onze,einundneunzig,kilencvenegy,novantuno,kyuujuuichi,nittien,dziewiecdziesiatjeden,noventae um,nouazecisiunu,noventay uno,nittioen,doksan bir,naw deg un,naw deg un,ceithir fichead ’s a deich 's a h-aon,naochad 's a h-aon
92,jiushier,devedeset dva,devádesátdva,tooghalvfems,tweeënnegentig,ninety-two,üheksakümmend kaks,yhdeksänkymmentäkaksi,quatre-vingt-douze,zweiundneunzig,kilencvenkettö,novantadue,kyuujuuni,nittito,dziewiecdziesiatdwa,noventae dois,nouazecisidoi,noventay dos,nittiotvå,doksan iki,naw deg dau,naw deg dwy,ceithir fichead ’s a deich 's a dhà,naochad 's a dhà
93,jiushisan,devedeset tri,devádesáttri,treoghalvfems,drieënnegentig,ninety-three,üheksakümmend kolm,yhdeksänkymmentäkolme,quatre-vingt-treize,dreiundneunzig,kilencvenhárom,novantatre,kyuujuusan,nittitre,dziewiecdziesiattrzy,noventae três,nouazecisitrei,noventay tres,nittiotre,doksan üç,naw deg tri,naw deg tair,ceithir fichead ’s a deich 's a trì,naochad 's a trì
94,jiushisi,devedeset četiri,devádesátchtyri,fireoghalvfems,vierennegentig,ninety-four,üheksakümmend neli,yhdeksänkymmentäneljä,quatre-vingt-quatorze,vierundneunzig,kilencvennégy,novantaquattro,kyuujuushi,nittifire,dziewiecdziesiatcztery,noventae quatro,nouazecisipatru,noventay cuatro,nittiofyra,doksan dört,naw deg pedwar,naw deg pedair,ceithir fichead ’s a deich 's a ceithir,naochad 's a ceithir
95,jiushiwu,devedeset pet,devádesátpet,femoghalvfems,vijfennegentig,ninety-five,üheksakümmend viis,yhdeksänkymmentäviisi,quatre-vingt-quinze,fünfundneunzig,kilencvenöt,novantacinque,kyuujuugo,nittifem,dziewiecdziesiatpiec,noventae cinco,nouazecisicinci,noventay cinco,nittiofem,doksan bes,naw deg pump,naw deg pump,ceithir fichead ’s a deich 's a còig,naochad 's a còig
96,jiushiliu,devedeset šest,devádesátshest,seksoghalvfems,zesennegentig,ninety-six,üheksakümmend kuus,yhdeksänkymmentäkuusi,quatre-vingt-seize,sechsundneunzig,kilencvenhat,novantasei,kyuujuuroku,nittiseks,dziewiecdziesiatszesc,noventae seis,nouazecisisase,noventay seis,nittiosex,doksan alti,naw deg chwech,naw deg chwech,ceithir fichead ’s a deich 's a sia,naochad 's a sia
97,jiushiqi,devedeset sedam,devádesátsedm,syvoghalvfems,zevenennegentig,ninety-seven,üheksakümmend seitse,yhdeksänkymmentäseitsemän,quatre-vingt-dix-sept,siebenundneunzig,kilencvenhét,novantasette,kyuujuushichi,nittisyv,dziewiecdziesiatsiedem,noventae sete,nouazecisisapte,noventay siete,nittiosju,doksan yedi,naw deg saith,naw deg saith,ceithir fichead ’s a deich 's a seachd,naochad 's a seachd
98,jiushiba,devedeset osam,devádesátosm,otteoghalvfems,achtennegentig,ninety-eight,üheksakümmend kaheksa,yhdeksänkymmentäkahdeksan,quatre-vingt-dix-huit,achtundneunzig,kilencvennyolc,novantotto,kyuujuuhachi,nittiåtte,dziewiecdziesiatosiem,noventae oito,nouazecisiopt,noventay ocho,nittioåtta,doksan sekiz,naw deg wyth,naw deg wyth,ceithir fichead ’s a deich 's a ochd,naochad 's a ochd
99,jiushijiu,devedeset devet,devádesátdevet,nioghalvfems,negenennegentig,ninety-nine,üheksakümmend üheksa,yhdeksänkymmentäyhdeksän,quatre-vingt-dix-neuf,neunundneunzig,kilencvenkilenc,novantanove,kyuujuuku,nittini,dziewiecdziesiatdziewiec,noventae nove,nouazecisinoua,noventay nueve,nittionio,doksan dokuz,naw deg naw,naw deg naw,ceithir fichead ’s a deich 's a naoi,naochad 's a naoi
100,yibai,sto,sto,hundrede,honderd,hundred,sada,sata,cent,(ein)hundert,száz,cento,hyaku,hundre,sto,cem,o suta,cien,hundra,yüz,cant,cant,ceud,ceud
